"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
112,"04538854","首都貨運有限公司","臺北市北投區中央北路2段404號2樓","陳明貴",6000000,"1021227"
113,"04566295","今莊企業有限公司","新北市土城區金城路3段125巷3號12樓","賴春蘭",5000000,"1021210"
114,"04580058","台灣優力膠業股份有限公司","臺北市中山區長安東路2段112號11樓之3","陳智平",23850000,"1021226"
115,"04593624","台大國際企業有限公司","臺北市萬華區和平西路3段51巷8號1樓","蘇文賓",1500000,"1021216"
116,"04635835","久展玻璃企業股份有限公司","彰化縣秀水鄉安東村彰水路1段340號","周李寶",140000000,"1021213"
117,"04636840","奕新營造股份有限公司","臺中市西區五權路2-3號5樓","陳泳霖",152880000,"1021223"
118,"04648780","台鼎水泥製品股份有限公司","花蓮縣壽豐鄉溪口村新站6號","薛大昌",12000000,"1021227"
119,"04655297","上慶通信工程有限公司","臺北市中正區西藏路89號1樓","王昌勝",5000000,"1021203"
120,"04660926","宗億織線工業股份有限公司","臺北市中正區重慶南路2段71號3樓","廖啟元",86000000,"1021223"
121,"04669308","北河企業有限公司","臺北市大同區迪化街1段63號8樓","陳秋揚",5000000,"1021219"
122,"04689698","翊泰實業股份有限公司","臺北市松山區復興北路57號12樓之1","吳金土",80000000,"1021216"
123,"04698606","宏展儀器企業有限公司","臺北市信義區松德路25巷26號2樓","鍾啟祥",5000000,"1021227"
124,"04718357","狄成遊覽車股份有限公司","臺中市西區公益路367號13樓之4","廖泳淀",50000000,"1021212"
125,"04720234","宏雄工程股份有限公司","臺北市松山區八德路4段135號4樓之2","蔡義文",12000000,"1021217"
126,"04729312","宜宜小客車租賃有限公司","臺北市信義區基隆路2段149之49號10樓之14","魏水盛",3000000,"1021219"
127,"04735004","固緯電子實業股份有限公司","新北市土城區中興路7-1號1樓","林錦章",1225184100,"1021231"
128,"04745832","天瑩交通有限公司","臺北市士林區葫蘆街110號1樓","羅貴蘭",5000000,"1021218"
129,"04749725","良友建設興業股份有限公司","臺北市士林區通河街87號1樓","劉榮盛",96000000,"1021227"
130,"04753419","雷耀企業股份有限公司","臺北市北投區中央南路2段32號4樓","林大業",31500000,"1021202"
131,"04759477","陸運電子工業有限公司","新北市瑞芳區大寮路瑞芳工業區157號1樓","張運陞",12000000,"1021226"
132,"04769480","大菱鋼鐵股份有限公司","臺北市南港區南港路3段109巷1之2號","陳蔡玉燕",25000000,"1021227"
133,"04771710","皓鑫實業股份有限公司","高雄市左營區文川路431號3樓","鄭啟銘",12000000,"1021218"
134,"04790168","萬興皮件股份有限公司","臺北市內湖區安康路93巷4弄3號1樓","方國興",10000000,"1021217"
135,"04791770","周家股份有限公司","臺北市信義區基隆路1段149號12樓","周金城",45000000,"1021203"
136,"04792742","甘霖國際物流股份有限公司","臺北市中山區中山北路2段68號3樓","甘賴榮玉",330800000,"1021231"
137,"04799169","本源興股份有限公司","臺北市大安區忠孝東路4段278號5樓","廖本源",115000000,"1021227"
138,"04800671","子揚建材有限公司","臺北市內湖區內湖路1段625號1樓","江水龍",3000000,"1021217"
139,"04805893","豐賓電子工業股份有限公司","新北市汐止區大同路2段165號5樓","林金村",532410000,"1021230"
140,"04807246","彥竹企業有限公司","臺北市中山區中山北路2段31號9樓","陳德堅",15000000,"1021220"
141,"04816842","老松工程有限公司","臺北市南港區玉成街52巷1號1樓","李作銘",20000000,"1021231"
142,"04830339","車王汽車有限公司","臺北市內湖區民權東路6段298號8樓","李國裕",25000000,"1021209"
143,"04833672","維稜鋼材有限公司","臺北市內湖區江南街121號3樓","謝嘉德",5000000,"1021205"
144,"04837543","北勢湖工業股份有限公司","臺北市內湖區安康路212號1樓","劉榮盛",60000000,"1021227"
145,"04840792","青高木材股份有限公司","臺北市文山區興隆路4段28號1樓","柯瑞珍",4000000,"1021216"
146,"04850138","弘霖工程有限公司","臺北市文山區興隆路2段220巷4號1樓","謝子建",10000000,"1021216"
147,"04865462","金橋科技股份有限公司","新北市深坑區萬福里北深路3段270巷6號3樓","林麥升",1033341690,"1021227"
148,"04884926","岱暉綠能材料股份有限公司","高雄市燕巢區四林路136號","徐忠耀",280800000,"1021227"
149,"04889041","樹樺電子股份有限公司","臺北市松山區基隆路1段18號1樓","高銀樹",30000000,"1021227"
150,"04900215","健群興業有限公司","臺北市內湖區行善路58號5樓之1","郭益旗",6000000,"1021219"
151,"04922098","勇力電機股份有限公司","新北市新店區中正路537號2樓","詹明昆",25000000,"1021210"
152,"04926974","海通企業股份有限公司","臺北市文山區興隆路2段205號2樓","許碧瑱",50000000,"1021209"
153,"04940785","金錩工業股份有限公司","新北市三重區萬全街15號","何素馨",150000000,"1021224"
154,"04987541","德士光學工業股份有限公司","臺北市大安區忠孝東路4段2號7樓之2","鄭淑琴",7500000,"1021225"
155,"05003744","永程交通有限公司","臺北市中正區中華路2段303巷13號","李進文",5000000,"1021217"
156,"05005665","妮可貿易有限公司","臺北市大安區忠孝東路4段177號8樓之1","鐘于婷",5000000,"1021224"
157,"05008092","光華投資股份有限公司","臺北市中山區八德路2段232號5樓","薛立言",2700000000,"1021230"
158,"05016369","吉贊實業股份有限公司","臺北市中山區民生東路3段51號16樓","李文賢",528000000,"1021204"
159,"05074212","林園國際投資控股股份有限公司","臺北市南港區重陽路166巷5號4樓","符玉鸞",245917000,"1021204"
160,"05075182","博飛實業股份有限公司","臺北市信義區松德路170之7號1樓","鄧潤德",10000000,"1021205"
161,"05077421","陸羽茶藝股份有限公司","臺北市中正區衡陽路64號3樓","李世偉",10000000,"1021206"
162,"05079032","百陽建設股份有限公司","臺北市大安區信義路4段265巷32號2樓之1","林啟時",10000000,"1021230"
163,"05094603","德勝科技股份有限公司","臺北市南港區南港路3段50巷21號5樓","林坤銘",503274040,"1021219"
164,"05095259","順上有限公司","臺北市大安區敦化南路2段57號10樓","蔡長泉",5000000,"1021224"
165,"05111878","峯昇興業股份有限公司","臺南市永康區鹽洲里中正南路649號","謝正雄",11000000,"1021226"
166,"05138362","臺灣資料縮影股份有限公司","臺北市內湖區瑞光路76巷33號3樓","章孝祺",20000000,"1021204"
167,"05144553","華杏出版股份有限公司","臺北市中正區新生南路1段50之1號4樓","郭麗群",28000000,"1021218"
168,"05147030","士林開發股份有限公司","臺北市士林區中山北路6段90號8樓","李昌霖",933790900,"1021223"
169,"05147144","金統銀樓有限公司","臺北市松山區復興北路191號15樓之2","宋蘇珊",6000000,"1021210"
170,"05158211","長億電機有限公司","新北市中和區永和路191巷7號","莊月麗",3000000,"1021211"
171,"05159470","惠貿電子股份有限公司","新北市新店區民權路108之2號4樓","朱鎮鏘",100000010,"1021226"
