"業者/量測點","下載-遠傳電信","下載-中華電信","下載-台灣大哥大","下載-威寶電信","下載-亞太電信","下載-平均","上傳-遠傳電信","上傳-中華電信","上傳-台灣大哥大","上傳-威寶電信","上傳-亞太電信","上傳-平均","階段"
"淡水漁人碼頭-情人橋","3.18","2.99","5.58","4.54","2.22","3.70","1.20","1.46","2.09","0.39","1.57","1.34","二"
"麥當勞(淡水新市店)","5.12","6.49","5.14","6.02","0.52","4.66","1.88","1.68","2.02","0.39","0.48","1.29","二"
"深坑CIA世貿科學園區","6.56","5.98","5.67","4.90","6.25","5.87","1.04","0.97","1.16","0.34","0.54","0.81","二"
"深坑老街","6.42","7.79","6.60","3.42","4.02","5.65","0.91","1.05","1.01","0.34","0.55","0.77","二"
"深坑福容飯店","5.49","4.13","3.45","5.39","3.22","4.34","0.79","1.05","0.82","0.34","0.63","0.73","二"
"佛教慈濟醫院","2.23","3.67","4.66","4.11","3.14","3.56","0.39","0.96","1.20","0.34","0.58","0.71","二"
"家樂福新店店","2.64","6.01","1.38","5.39","2.42","3.57","0.71","1.04","0.04","0.34","0.42","0.53","二"
"捷運大坪林站","8.31","6.53","8.43","5.54","3.77","6.52","0.80","1.05","0.99","0.34","0.49","0.73","二"
"捷運新店站1F客運轉運站","5.02","5.64","3.83","3.02","0.89","3.68","0.76","0.88","0.82","0.30","0.39","0.62","二"
"碧潭路碧潭橋頭","3.87","2.71","8.93","1.36","2.05","3.79","0.69","0.61","1.27","0.23","0.43","0.65","二"
"佳瑪百貨新莊店","7.67","11.36","10.38","4.93","4.77","7.82","0.90","1.01","0.94","0.32","0.45","0.72","二"
"捷運新莊站","5.34","11.41","9.90","6.35","3.75","7.35","0.98","1.00","1.14","0.34","0.50","0.79","二"
"新莊夜市","7.11","5.66","5.62","5.45","1.71","5.11","0.99","0.92","1.11","0.32","0.45","0.76","二"
"新莊家樂福","3.38","4.39","2.31","0.00","0.00","2.75","0.70","1.14","0.56","0.00","0.00","0.65","二"
"新莊麥當勞中平店","3.50","5.52","3.76","3.18","1.74","3.54","0.77","1.13","0.67","0.05","0.44","0.61","二"
"鴻金寶百貨","4.13","9.55","5.25","5.26","1.37","5.11","0.70","1.10","1.02","0.34","0.53","0.74","二"
"樹林火車站(鎮前街出口)","8.60","5.95","2.71","3.30","4.71","5.05","0.91","1.03","1.00","0.24","0.57","0.75","二"
"樹林花園夜市入口噴汁香腸攤","7.83","3.51","4.29","5.62","3.49","4.95","0.82","1.03","0.64","0.34","0.56","0.68","二"
"樹林家樂福1F大門口購物車停放處","5.93","4.85","5.71","5.76","4.23","5.30","0.91","0.96","0.36","0.34","0.57","0.63","二"
"樹林區公所右側(調解委員會門口)","7.66","5.74","8.30","5.08","6.08","6.57","1.03","0.77","0.77","0.34","0.62","0.71","二"
"蘆洲李氏古厝-售票口","5.52","5.97","8.00","4.62","2.39","5.30","0.87","1.19","1.02","0.34","0.23","0.73","二"
"蘆洲佳瑪百貨大門口","8.54","2.92","5.25","4.05","2.45","4.64","0.92","1.15","0.45","0.33","0.43","0.66","二"
"蘆洲徐匯廣場B1商品街","9.03","10.00","10.58","5.91","2.00","7.50","1.03","1.01","1.22","0.34","0.27","0.77","二"
"蘆洲捷運蘆洲站","8.93","8.75","10.78","5.36","5.46","7.86","1.15","1.30","1.02","0.33","0.44","0.85","二"
"蘆洲湧蓮寺","5.67","8.81","7.63","3.16","2.53","5.56","0.89","0.99","1.19","0.32","0.55","0.79","二"
"宏洲磁磚觀光工廠","6.76","5.75","5.84","0.34","3.13","4.00","2.40","1.69","1.97","0.30","1.49","1.65","二"
"鶯歌火車站","6.19","4.38","7.04","5.01","3.82","5.15","2.42","1.67","1.80","0.39","1.91","1.52","二"
"鶯歌區公所門口","7.72","4.20","6.21","3.46","4.34","5.19","1.05","0.82","1.16","0.34","0.59","0.79","二"
"鶯歌陶瓷老街","6.47","8.97","7.48","5.32","4.10","6.86","1.37","1.72","1.98","0.39","1.88","1.61","二"
"桃園縣","","","","","","","","","","","","",""
"八德市公所服務台","5.94","4.35","8.48","3.45","1.82","4.75","2.16","1.77","1.98","0.37","1.23","1.40","二"
"大潤發商場美食街","4.34","2.27","5.47","0.34","1.52","2.79","1.38","0.86","1.62","0.27","1.37","0.96","二"
"巧克力共和國博物館","6.48","5.04","3.13","4.77","2.81","4.13","2.10","1.53","1.36","0.38","2.02","1.38","二"
"國防大學校本部大門口","5.99","5.62","3.27","0.33","3.62","3.42","2.07","1.52","1.56","0.28","1.52","1.26","二"
"台灣桃園國際機場(第一航廈-美食街)","8.23","8.15","8.26","5.83","3.06","6.70","1.00","1.18","1.74","0.39","1.43","1.14","二"
"竹圍漁港產銷中心門口","4.28","6.28","3.11","0.33","2.10","3.22","0.87","1.06","1.12","0.21","0.53","0.76","二"
"航空科學館","2.20","8.46","4.85","3.01","1.05","4.04","0.90","1.50","2.01","0.37","1.42","1.26","二"
"大溪老街(康莊路和平路口)","5.66","4.78","6.28","4.33","2.58","4.73","1.02","1.05","0.87","0.31","0.52","0.75","二"
"大溪鎮公所","7.58","5.87","9.93","4.56","2.28","6.05","0.90","1.13","1.02","0.33","0.61","0.80","二"
"兩蔣雕塑公園","10.09","7.17","8.33","2.49","0.12","5.64","0.92","1.11","1.14","0.30","0.23","0.74","二"
"桃園大溪慈湖遊客中心","9.71","9.01","9.70","2.56","0.00","7.15","0.91","1.11","1.23","0.30","0.00","0.82","二"
"大江購物中心","5.71","7.75","8.83","0.59","1.49","4.87","0.84","1.05","1.03","0.28","0.26","0.69","二"
"中壢火車站","2.58","3.25","4.38","4.60","2.60","3.48","0.34","1.05","0.99","0.33","0.55","0.65","二"
"內壢火車站","3.58","4.51","5.26","5.10","3.29","4.35","0.75","0.96","1.22","0.33","0.51","0.72","二"
"青埔高鐵站","5.28","6.98","8.39","5.44","4.53","6.12","0.76","0.98","1.02","0.34","0.60","0.74","二"
"國道一號中壢休息區","6.09","5.24","4.70","4.46","3.22","4.74","1.12","0.70","0.83","0.31","0.53","0.70","二"
"平鎮市公所服務台","5.92","6.95","9.68","3.72","3.42","6.07","1.76","1.65","2.18","0.29","1.79","1.57","二"
"平鎮復興親子公園","5.45","6.21","5.46","0.22","3.29","4.13","1.71","1.59","1.44","0.25","2.08","1.42","二"
"褒忠祠(義民廟)廟前廣場","5.72","3.54","8.79","4.65","4.69","5.44","2.08","1.57","1.59","0.39","1.99","1.44","二"
"桃園火車站","3.27","4.59","2.31","3.93","1.77","3.17","0.87","1.02","1.06","0.33","0.61","0.78","二"
"桃園巨蛋體育館","5.11","6.83","6.33","4.42","1.21","4.78","0.72","1.25","1.05","0.34","0.52","0.78","二"
"桃園統領百貨","5.22","7.18","10.97","2.44","1.22","5.41","0.67","0.95","1.04","0.30","0.29","0.65","二"
"桃園縣政府","2.58","4.89","5.98","5.84","4.21","4.70","0.64","0.70","0.61","0.34","0.58","0.57","二"
"御花園觀光夜市","1.10","5.38","6.85","4.24","3.26","4.17","0.96","1.16","1.16","0.34","0.50","0.82","二"
"味全埔心牧場大門口售票亭","2.98","6.79","7.94","3.60","5.25","5.31","0.65","1.04","1.01","0.33","0.59","0.72","二"
"埔心火車站前站入口","4.21","7.14","3.67","4.90","3.71","4.73","0.92","1.06","0.24","0.34","0.11","0.59","二"
"郭元益糕餅生活館","3.67","4.68","7.22","0.33","3.70","3.92","1.15","0.96","1.16","0.21","0.55","0.81","二"
"楊梅火車站入口左側花台坐位","6.21","3.36","6.18","4.81","3.32","4.78","0.77","0.76","1.10","0.32","0.53","0.70","二"
"楊梅市公所1樓民政課2號櫃檯","5.32","8.46","6.53","0.34","3.50","4.83","1.08","1.00","1.05","0.25","0.28","0.80","二"
"龍潭大池","3.30","3.38","2.54","0.00","4.04","3.06","0.91","0.74","0.88","0.00","1.88","1.05","二"
"龍潭小人國","7.26","7.80","2.31","5.66","3.96","5.11","2.11","1.60","0.41","0.39","1.83","1.27","二"
"龍潭鄉公所","3.93","7.46","6.26","4.27","3.41","5.07","0.98","1.58","2.12","0.39","1.79","1.37","二"
"東方高球場","0.43","8.78","7.33","0.33","1.13","3.60","0.59","1.59","1.99","0.25","0.69","1.08","二"
"林口體育館","6.55","7.13","4.47","5.91","1.78","5.28","0.80","1.10","0.98","0.34","0.31","0.66","二"
"龜山長庚大學大門口","6.90","4.69","7.11","4.90","5.84","5.89","2.03","1.62","1.61","0.39","2.03","1.53","二"
"台茂購物中心(美食街)","5.83","6.35","7.05","3.01","3.57","5.06","1.30","1.61","1.06","0.28","1.57","1.14","二"
"台灣桃園國際機場第一航廈","9.92","9.36","7.99","5.95","2.70","7.18","0.93","1.05","0.97","0.33","0.46","0.75","二"
"好市多(桃園店)","1.72","3.08","4.42","4.52","3.45","3.44","0.68","1.02","2.05","0.31","1.76","1.17","二"
"蘆竹鄉公所","4.30","3.08","6.49","4.13","1.04","3.77","1.61","1.36","1.68","0.37","0.54","1.08","二"
"白沙岬燈塔","1.82","6.44","4.66","5.95","2.18","4.38","1.57","1.65","1.10","0.39","0.80","1.07","二"
"桃園客運站","6.41","5.33","4.11","4.02","2.35","4.45","2.09","1.70","1.89","0.39","0.82","1.38","二"
"觀音海水浴場","6.88","7.70","3.31","3.91","3.51","4.78","2.14","1.74","1.23","0.39","1.40","1.26","二"
"觀音鄉甘泉寺大門口","6.81","6.13","6.20","5.39","3.72","5.47","2.16","1.70","2.02","0.39","0.70","1.28","二"
"苗栗縣","","","","","","","","","","","","",""
"竹南火車站候車處","6.46","4.23","5.33","3.64","1.54","4.24","2.09","1.67","1.47","0.36","1.12","1.34","二"
"竹南龍鳳宮門口","4.83","5.10","5.72","0.32","2.34","3.66","1.47","1.90","1.84","0.28","1.25","1.43","二"
"竹南鎮公所","7.87","5.15","6.24","2.46","1.47","4.64","2.02","1.75","1.79","0.31","1.23","1.42","二"
"苗北藝文中心","3.20","4.28","5.94","0.32","1.59","3.07","2.01","1.48","1.68","0.27","0.98","1.36","二"
"外埔漁港休閒漁業館","7.60","4.71","4.56","0.22","0.28","3.48","2.18","1.79","1.37","0.24","0.71","1.33","二"
"後龍火車站大廳","6.19","6.17","5.74","2.48","0.18","4.15","2.01","1.67","1.70","0.37","0.96","1.34","二"
"後龍慈雲宮門口","7.35","7.77","9.62","3.41","0.19","5.67","2.15","1.72","1.82","0.34","0.68","1.34","二"
"後龍鎮公所","5.54","7.99","7.24","2.68","1.32","4.95","1.78","1.71","1.85","0.36","0.97","1.33","二"
"火炎山遊樂區入口","7.94","9.06","9.76","0.32","0.85","5.59","2.07","1.98","1.98","0.30","0.72","1.41","二"
"苑裡85度C","9.29","7.19","8.16","2.22","4.71","6.31","2.15","1.73","1.73","0.35","2.07","1.61","二"
"苑裡麥當勞","5.43","8.18","7.68","1.64","1.62","4.91","1.99","1.68","1.77","0.33","1.99","1.55","二"
"苗栗市公所","3.21","7.08","4.16","3.24","1.70","3.88","1.19","1.69","1.68","0.35","1.27","1.24","二"
"苗栗家樂福美食街","3.86","9.89","8.24","2.41","1.85","5.25","1.84","1.68","1.79","0.33","1.33","1.40","二"
"苗栗縣文化局","6.54","6.94","9.28","3.40","1.89","5.61","1.58","1.67","1.77","0.36","1.33","1.34","二"
"署立苗栗醫院掛號處","2.19","6.39","10.03","3.61","0.38","4.52","1.27","1.98","1.97","0.33","0.75","1.26","二"
"馬家庄-馬家宗祠","6.26","7.29","6.74","2.87","0.44","4.72","2.04","1.95","1.89","0.36","0.71","1.39","二"
"通霄火車站大廳","6.81","7.93","6.23","0.33","1.15","4.49","1.87","1.62","1.75","0.29","1.11","1.49","二"
"通霄精鹽廠","10.67","9.10","6.13","0.33","0.39","5.27","1.93","1.92","1.91","0.26","0.65","1.47","二"
"黃昏市場—自強與仁愛路口","4.86","5.30","4.14","2.56","1.19","3.61","0.48","1.66","1.46","0.32","1.13","1.01","二"
"頭份大潤發麥當勞","6.50","7.48","6.24","0.26","0.45","4.19","2.16","1.71","1.71","0.26","0.65","1.30","二"
"頭份鎮公所","8.68","8.74","6.89","2.35","1.57","5.65","2.17","1.70","1.87","0.31","1.07","1.42","二"
"台中市","","","","","","","","","","","","",""
"大甲文昌祠","7.08","4.08","4.65","2.84","1.38","3.96","2.17","1.62","1.74","0.33","1.29","1.41","二"
"大甲火車站大廳","4.73","4.26","4.67","0.33","0.49","3.08","2.11","1.65","0.99","0.30","1.59","1.49","二"
"大甲鎮瀾宮","6.25","6.09","7.81","1.12","1.24","4.50","2.01","1.70","1.68","0.28","1.90","1.51","二"
"大甲鐵砧山劍井地標旁","7.03","5.47","8.12","0.33","0.36","4.54","2.15","1.83","1.91","0.30","0.07","1.53","二"
"大安海水浴場","3.43","7.99","1.82","2.06","1.18","3.30","1.12","1.58","1.08","0.35","1.83","1.19","二"
"大安區公所","8.15","8.96","2.99","1.75","0.95","4.67","1.45","1.72","1.90","0.32","1.74","1.39","二"
"東安社區","8.34","5.54","7.61","3.97","2.96","5.68","2.12","1.92","1.72","0.36","1.17","1.46","二"
"大肚區公所","6.45","6.66","2.93","0.33","2.00","3.79","2.07","1.39","1.85","0.34","1.75","1.65","二"
"沙田路與福利街口","8.69","3.35","5.77","0.33","3.35","4.30","2.12","1.65","1.79","0.28","1.88","1.64","二"
"追分車站大廳","8.49","6.31","5.27","2.15","4.44","5.33","2.10","1.78","1.70","0.36","1.69","1.53","二"
"大里中興路85度C","7.89","4.14","9.30","2.61","2.01","5.42","2.11","1.66","1.92","0.35","2.00","1.58","二"
"大里仁愛醫院門口","6.11","2.92","4.25","0.30","1.41","3.19","2.07","1.41","1.67","0.26","1.24","1.41","二"
"大里區公所","6.20","5.14","5.25","2.76","2.22","4.31","2.15","1.60","1.66","0.34","0.91","1.33","二"
"大里運動公園","4.39","5.52","4.52","4.20","3.73","4.47","1.27","1.27","1.20","0.39","1.01","1.03","二"
"國光路花市","4.94","6.22","4.02","2.61","5.10","4.58","1.71","1.66","1.68","0.36","1.92","1.47","二"
"大雅國際花市入口","7.65","5.61","6.12","3.48","1.55","4.88","2.14","1.40","1.73","0.33","2.10","1.54","二"
"中科管理局大廳","3.88","5.70","4.71","2.76","1.55","3.72","2.20","1.20","1.70","0.31","0.31","1.20","二"
"潭雅神自行車道10k處","3.71","2.77","1.57","2.22","1.93","2.44","1.82","1.21","1.84","0.33","1.36","1.31","二"
"日曜天地","2.37","4.17","2.91","2.63","0.88","2.59","1.15","1.63","1.67","0.31","0.97","1.15","二"
"台中火車站售票處","4.66","6.62","6.94","3.43","2.21","4.77","1.80","1.37","1.70","0.13","1.77","1.35","二"
"台中第一廣場","7.71","1.86","8.15","4.13","1.26","4.06","2.02","0.68","1.95","0.39","0.60","1.04","二"
"宮原眼科門口","4.74","6.94","5.50","1.60","0.67","3.89","1.51","1.37","1.59","0.12","0.76","1.07","二"
"統聯客運台中火車站候車室","3.89","4.17","4.38","3.44","2.36","3.65","0.96","1.06","1.60","0.33","1.77","1.14","二"
"太平中山麥當勞","6.45","8.54","6.26","3.59","2.54","5.48","2.16","1.58","1.68","0.36","1.33","1.42","二"
"太平家樂福美食街","2.23","4.28","2.00","2.96","1.49","2.59","1.44","1.64","1.67","0.33","1.38","1.29","二"
"國軍803醫院掛號處","7.55","3.24","7.06","2.57","3.23","4.73","2.17","1.37","1.69","0.31","1.79","1.47","二"
"中清路文心路口","7.13","4.52","3.88","1.96","2.00","3.90","2.18","1.68","0.93","0.32","0.86","1.19","二"
"文心路四段與崇德路二段—赤鬼牛排","4.74","5.29","2.74","3.04","0.52","3.27","1.99","1.59","1.68","0.31","1.21","1.36","二"
"台中東東芋圓","8.31","5.51","4.53","3.45","1.47","4.65","2.02","1.70","1.26","0.33","1.45","1.35","二"
"台中國際高爾夫球場會所","7.43","5.97","5.59","4.28","1.66","4.99","2.06","1.67","1.38","0.38","1.56","1.41","二"
"一中西門町","5.14","6.82","5.23","2.93","2.72","4.57","1.28","1.10","1.84","0.33","1.74","1.26","二"
"一中商圈台中一中大門","5.58","10.28","7.24","3.16","2.83","5.82","1.15","1.77","1.69","0.39","1.76","1.35","二"
"中友百貨星巴克","6.33","4.01","4.50","2.66","0.94","3.69","1.43","1.38","1.53","0.35","0.73","1.08","二"
"台中孔廟","5.21","3.36","5.95","2.90","1.16","3.72","2.02","1.69","1.58","0.36","1.90","1.51","二"
"台中自然科學博物館生命科學館","5.05","7.89","7.70","3.86","2.39","5.59","1.98","0.83","1.69","0.36","1.94","1.32","二"
"台中崇德家樂福入口","11.11","8.29","3.06","2.52","3.15","5.63","2.15","1.78","1.12","0.32","1.44","1.36","二"
"台灣省農會休閒農場","1.06","9.02","1.96","0.89","0.38","2.66","0.84","1.96","1.11","0.29","0.56","0.95","二"
"外埔虎爺廟正門","6.85","7.32","6.02","2.97","3.54","5.34","2.13","1.84","1.86","0.31","1.19","1.46","二"
"外埔區公所","8.24","6.40","6.11","0.32","2.48","4.71","2.15","1.65","1.90","0.26","1.56","1.70","二"
"土牛客家文物館","6.54","5.68","9.04","0.32","0.87","4.49","1.40","0.82","1.77","0.25","1.24","1.16","二"
"石岡日式穀倉","7.51","5.05","4.97","0.24","1.15","3.78","1.93","1.52","1.72","0.25","1.08","1.30","二"
"石岡旅客服務中心","9.61","7.24","6.66","0.31","2.55","5.27","2.16","1.60","1.75","0.27","0.94","1.42","二"
"石岡情人木橋入口","8.11","3.63","6.26","0.31","0.70","3.80","1.82","1.69","1.77","0.28","1.13","1.41","二"
"石岡圖書館","8.01","7.11","7.21","0.32","2.53","5.04","2.12","1.66","1.81","0.28","1.06","1.56","二"
"后里火車站大廳","8.50","8.99","7.70","2.31","2.71","6.04","2.06","1.92","1.94","0.31","2.09","1.66","二"
"后里馬場","7.46","4.93","9.41","0.33","1.45","4.70","2.02","1.63","1.97","0.30","1.79","1.74","二"
"后里糖廠","8.75","6.44","7.51","3.55","1.51","5.55","2.15","1.72","1.77","0.36","1.74","1.55","二"
"后里薩克斯風博物館","8.80","8.98","3.98","3.49","1.32","5.31","2.13","1.71","1.43","0.36","1.61","1.45","二"
"麗寶樂園售票口","8.93","8.11","8.98","2.50","0.62","5.83","2.06","1.71","1.91","0.34","2.20","1.64","二"
"台中市政府","5.84","2.53","4.22","3.11","1.36","3.41","1.61","1.63","1.00","0.33","1.55","1.22","二"
"台中統聯客運朝馬站候車室","6.27","2.52","4.60","3.57","2.61","3.91","1.72","1.59","1.63","0.34","1.63","1.37","二"
"台中榮民總醫院掛號處","9.10","6.67","7.54","4.26","4.20","6.35","1.95","1.36","1.61","0.36","1.57","1.37","二"
"老虎城美食街","5.65","8.44","5.78","1.97","1.31","4.63","2.06","1.72","1.09","0.31","1.11","1.26","二"
"東海大學路思義教堂","3.99","2.92","5.92","4.02","2.32","3.83","1.59","0.72","1.71","0.39","1.57","1.19","二"
"秋紅谷公園","4.10","5.45","6.87","2.97","2.26","4.33","2.09","1.05","1.64","0.35","1.25","1.27","二"
"逢甲大學","4.91","4.81","3.22","2.72","3.35","3.80","2.00","1.67","1.36","0.33","1.73","1.42","二"
"新光三越美食街","9.23","8.19","9.12","3.28","0.75","6.11","1.46","1.37","1.62","0.36","0.84","1.13","二"
"中港圓環水舞饌","4.54","4.12","5.98","2.13","0.89","3.53","1.52","1.50","0.66","0.33","1.44","1.09","二"
"台中文化中心","4.35","4.38","8.04","2.69","2.49","4.39","1.87","1.40","1.63","0.30","1.94","1.43","二"
"台中國立台灣美術館","6.17","7.31","2.04","2.76","2.55","4.28","1.79","1.14","1.31","0.32","2.01","1.26","二"
"台中演武場","5.44","4.60","3.14","3.45","7.45","4.81","2.17","1.66","1.64","0.37","2.08","1.58","二"
"誠品綠園道","4.96","2.52","4.57","1.52","1.22","2.96","1.95","0.72","1.57","0.33","1.25","1.16","二"
"廣三SOGO美食街","6.86","12.69","7.48","4.40","3.26","6.94","1.91","1.74","1.30","0.36","1.59","1.38","二"
"台中機場新航廈大廳","8.34","2.32","7.19","3.72","3.50","5.02","1.95","1.51","1.84","0.36","1.61","1.45","二"
"沙鹿火車站大廳","4.03","5.88","3.61","0.04","0.55","3.02","1.55","1.66","1.42","0.14","0.95","1.14","二"
"沙鹿家樂福麥當勞","6.10","2.11","6.37","1.69","0.80","3.41","2.14","1.07","1.38","0.30","0.46","1.07","二"
"沙鹿童綜合醫院掛號處","9.19","8.26","9.57","0.31","1.19","5.71","1.40","1.66","1.70","0.30","1.56","1.40","二"
"東區區公所圖書室","2.17","7.01","4.49","2.55","2.22","3.69","2.10","1.70","1.76","0.31","1.41","1.45","二"
"建成路樂業路口","5.99","6.64","9.27","3.29","3.71","5.78","2.10","1.74","1.93","0.36","1.75","1.58","二"
"新時代購物廣場美食街","7.38","9.04","6.86","3.49","0.60","5.48","1.83","1.72","1.72","0.36","1.13","1.35","二"
"燦坤東英店","5.41","8.79","6.09","3.07","3.77","5.43","1.75","1.52","1.69","0.32","2.18","1.49","二"
"大墩家樂福美食街","6.62","6.22","7.76","2.52","1.82","4.99","1.43","1.70","1.76","0.23","2.10","1.44","二"
"公益路二段與文心路一段","7.27","4.49","3.32","3.17","1.04","3.86","1.82","0.44","0.73","0.35","1.30","0.93","二"
"台中好市多美食街","7.45","7.82","7.20","4.27","2.31","5.81","1.98","1.55","1.61","0.39","1.51","1.41","二"
"台中花市","2.57","9.21","6.44","2.44","1.89","4.51","1.01","1.69","0.97","0.33","1.28","1.06","二"
"圓滿戶外劇場","8.72","6.65","5.83","3.60","2.48","5.46","2.00","1.70","0.75","0.35","1.06","1.17","二"
"中山醫學大學","9.36","5.58","6.87","2.00","0.63","4.89","2.18","0.77","1.67","0.29","1.55","1.29","二"
"中投公路五權南路閘道口","6.92","7.80","8.98","2.99","1.44","5.63","2.12","1.80","1.69","0.33","1.45","1.48","二"
"中興大學","4.06","3.19","6.26","2.53","2.62","3.73","1.42","0.61","1.89","0.27","2.37","1.31","二"
"忠明南路與五權南路口","5.15","4.23","5.30","2.87","2.65","4.04","1.39","1.42","1.73","0.32","2.00","1.37","二"
"東峰公園-228紀念碑","6.38","5.69","5.08","3.22","1.01","4.13","1.55","1.72","1.68","0.32","0.79","1.21","二"
"烏日高鐵2樓大廳","5.07","4.53","5.38","3.47","5.27","4.74","1.88","1.43","1.68","0.35","1.86","1.44","二"
"烏日會展中心","8.09","10.06","3.70","1.72","1.57","5.03","2.04","1.90","1.25","0.32","1.23","1.35","二"
"烏日觀光啤酒廠","6.15","7.83","6.84","3.57","2.18","5.31","2.08","1.64","1.68","0.35","1.08","1.37","二"
"神岡圳前活動中心社區","8.34","6.38","6.59","3.72","1.74","5.35","2.09","1.79","1.73","0.33","1.94","1.58","二"
"神岡岸裡文物藝術館大門口","6.05","4.98","3.79","3.08","2.34","4.05","2.07","0.60","1.54","0.33","1.92","1.28","二"
"神岡區公所","7.52","6.71","4.47","3.34","3.91","5.19","2.19","1.86","1.39","0.33","1.83","1.52","二"
"神岡犁記餅店","6.73","3.40","8.33","2.90","4.41","5.15","2.05","1.62","1.60","0.32","1.89","1.50","二"
"潭雅神自行車道休息區","7.50","7.50","7.53","2.81","5.45","6.16","2.12","1.73","1.85","0.35","1.90","1.59","二"
"台中港旅客服務中心","8.88","2.30","6.08","2.39","3.14","4.56","1.75","1.46","1.71","0.32","1.51","1.35","二"
"梧棲區公所","5.82","4.96","6.25","0.33","2.08","3.89","2.14","1.55","1.72","0.22","1.60","1.54","二"
"梧棲舶來品商圈光景走廊商街","6.98","5.35","8.96","0.33","1.78","4.68","2.12","1.57","1.68","0.30","1.30","1.56","二"
"台中市立港區藝術中心","7.45","4.50","4.75","2.08","1.63","4.08","2.05","1.69","1.66","0.33","1.67","1.48","二"
"高美濕地景觀台","8.49","9.64","3.22","2.09","1.82","5.05","2.09","1.89","1.53","0.33","1.24","1.42","二"
"高速公路清水休息站","9.66","5.75","3.95","2.50","4.97","5.37","2.14","1.62","1.67","0.27","1.85","1.51","二"
"清水火車站售票處","9.87","6.32","7.31","3.30","0.57","5.47","2.16","1.65","1.69","0.33","0.22","1.21","二"
"潭子火車站","8.63","2.06","3.76","2.38","3.76","4.12","2.15","1.39","1.81","0.31","1.74","1.48","二"
"潭子美利達旗艦店","6.58","4.94","3.67","2.28","2.49","3.99","2.09","1.59","1.73","0.32","1.04","1.35","二"
"潭子區公所","5.93","5.46","5.02","2.72","3.34","4.50","1.80","1.71","1.70","0.33","1.04","1.32","二"
"潭子運動公園大門口","3.69","5.33","6.78","3.08","3.65","4.64","1.33","1.67","1.71","0.35","1.46","1.28","二"
"東海藝術街春水堂","6.94","4.82","3.98","2.86","2.18","4.16","2.21","1.73","1.93","0.34","1.34","1.51","二"
"遊園北路西屯路口","6.90","8.20","5.47","3.74","2.37","5.34","2.20","1.47","1.74","0.36","1.16","1.39","二"
"龍井麥當勞","7.24","4.94","2.35","2.96","2.03","3.90","2.15","1.77","1.46","0.30","1.91","1.52","二"
"台中市政府陽明大樓","6.05","4.28","7.38","1.86","1.35","4.18","2.22","1.63","1.68","0.32","1.28","1.43","二"
"葫蘆墩公園","7.75","6.77","6.70","2.65","3.87","5.55","2.14","1.69","1.71","0.33","1.79","1.53","二"
"豐原太平洋百貨美食街","8.83","10.04","7.05","1.94","0.63","5.70","1.44","1.46","1.70","0.29","0.89","1.15","二"
"豐原火車站候車處","6.86","8.81","8.51","2.77","1.97","5.78","2.15","1.68","1.76","0.33","1.66","1.52","二"
"豐原家樂福美食街","6.92","6.29","9.21","3.17","0.64","5.25","1.02","1.75","1.70","0.32","1.66","1.29","二"
"豐原廟東媽祖廟","6.03","2.99","3.86","2.93","1.79","3.52","1.78","1.63","1.09","0.36","1.28","1.24","二"
"921地震教育園區","8.49","6.28","8.09","3.35","1.63","5.57","2.03","1.48","1.51","0.36","2.20","1.52","二"
"神農大帝廟","5.76","4.70","5.65","3.10","2.50","4.63","2.07","1.69","1.70","0.39","2.00","1.50","二"
"霧峰林家花園","7.16","4.42","6.05","1.57","2.42","4.46","2.12","1.72","0.75","0.35","1.90","1.33","二"
"霧峰區公所","10.07","7.39","3.63","3.38","1.93","5.40","2.16","1.55","1.79","0.31","1.75","1.50","二"
"嘉義縣","","","","","","","","","","","","",""
"大林火車站","7.64","1.65","2.22","2.83","1.09","3.08","2.05","1.22","0.72","0.31","0.49","0.98","二"
"大林慈濟醫院門診大廳","10.52","4.00","2.93","2.58","0.75","4.29","2.02","1.57","1.71","0.30","0.47","1.26","二"
"大林鎮公所","7.22","4.11","4.65","3.66","0.47","4.02","2.05","1.57","1.91","0.37","0.38","1.26","二"
"太保市公所","4.87","1.68","2.62","2.12","0.59","2.42","1.17","1.76","1.48","0.28","0.89","1.12","二"
"高鐵嘉義站","4.74","3.20","3.07","2.57","1.28","3.00","0.86","2.18","1.82","0.31","1.01","1.26","二"
"嘉義縣政府大門口","7.71","0.86","0.92","3.71","1.89","3.08","2.05","1.49","1.63","0.35","1.12","1.45","二"
"水上鄉公所","5.94","1.09","4.14","0.33","0.96","2.59","1.82","1.24","1.68","0.26","1.61","1.57","二"
"水上機場","6.20","8.08","5.61","4.20","0.62","4.54","2.01","1.91","1.89","0.38","1.58","1.55","二"
"南靖糖廠","8.23","5.62","4.00","0.33","2.48","4.13","2.08","1.82","1.73","0.28","1.15","1.49","二"
"民雄火車站","5.97","4.08","2.76","3.50","0.80","3.24","2.08","1.75","1.24","0.37","1.67","1.38","二"
"民雄鄉大士爺廟","5.36","5.89","2.28","0.33","0.67","2.53","1.99","1.70","1.10","0.21","1.88","1.30","二"
"民雄鄉公所","2.64","3.22","2.37","0.34","0.43","1.80","1.20","1.71","1.38","0.25","1.87","1.35","二"
"朴子市公所","4.69","8.54","4.65","1.87","0.85","4.12","0.99","0.88","0.63","0.23","0.51","0.65","二"
