smeetingDate,meetingRoom,meetingTypeName,jointCommittee,meetingName,meetingContent,legislatorNameList,
107/10/31,群賢樓801會議室,社會福利及衛生環境委員會,無,立法院第9屆第6會期社會福利及衛生環境委員會第10次全體委員會議,一、邀請勞動部部長及交通部就「台鐵普悠瑪號出軌事件檢討及改善台鐵勞動條件」進行專題報告，並備質詢。二、邀請勞動部部長就「近三年勞動部及所屬涉及職場安全、勞工健康之委託案辦理及採納情形」進行專題報告，並備質詢。三、邀請衛生福利部部長就「近三年衛生福利部及所屬涉及民眾健康安全風險之委託案及採納辦理情形」、「亞培原安素事件後續處理」進行專題報告，並備質詢。四、邀請行政院環境保護署署長就「近三年行政院環境保護署及所屬涉及環境污染與健康風險評估之委託案及採納辦理情形」進行專題報告，並備質詢。,陳曼麗;陳宜民;吳焜裕;徐志榮;蔣萬安;趙天麟;王育敏;楊曜;陳瑩;邱泰源;吳玉琴;李彥秀;林靜儀;蕭美琴;洪慈庸;黃國昌;許淑華;林德福;蔣乃辛;吳志揚;鍾孔炤;邱志偉;羅明才;黃秀芳;周陳秀霞;劉建國,
107/11/01,群賢樓801會議室,社會福利及衛生環境委員會,無,立法院第9屆第6會期社會福利及衛生環境委員會第10次全體委員會議,一、邀請勞動部部長及交通部就「台鐵普悠瑪號出軌事件檢討及改善台鐵勞動條件」進行專題報告，並備質詢。二、邀請勞動部部長就「近三年勞動部及所屬涉及職場安全、勞工健康之委託案辦理及採納情形」進行專題報告，並備質詢。三、邀請衛生福利部部長就「近三年衛生福利部及所屬涉及民眾健康安全風險之委託案及採納辦理情形」、「亞培原安素事件後續處理」進行專題報告，並備質詢。四、邀請行政院環境保護署署長就「近三年行政院環境保護署及所屬涉及環境污染與健康風險評估之委託案及採納辦理情形」進行專題報告，並備質詢。,,
107/11/01,紅樓301會議室,外交及國防委員會,無,立法院第9屆第6會期外交及國防委員會第11次全體委員會議【含秘密會議】,一、邀請國家安全局局長彭勝竹率相關情報機關首長提出「國家情報工作暨國家安全局業務報告」，並備質詢。【報告秘密，詢答（先秘密、後公開）】二、處理院會交付107年度中央政府總預算決議，國家安全局第2目「情報行政」項下「行政管理」之「設備及投資」預算凍結300萬元案。【10月29、31及11月1日三天一次會】,林昶佐;何欣純;邱志偉;呂玉玲;蔡適應;江啟臣;李彥秀;邱志偉;王定宇;林麗蟬;黃國昌;羅致政;鄭天財Sra．Kacaw;曾銘宗;呂孫綾;馬文君,
107/11/01,紅樓302會議室,司法及法制委員會,無,立法院第9屆第6會期司法及法制委員會第11次全體委員會議,一、處理及繼續審查107年度中央政府總預算關於司法院主管預算凍結項目等共4案。二、審查司法院函請審議「行政訴訟法部分條文修正草案」案。三、審查司法院函請審議「民事訴訟法第二百二十三條、第二百二十四條及第二百三十五條條文修正草案」案。四、審查司法院函請審議「民事訴訟法施行法第十二條條文修正草案」案。五、審查司法院、行政院函請審議「刑事訴訟法第三百十一條條文修正草案」案。六、併案審查（一）委員周春米等17人擬具「刑事訴訟法部分條文修正草案」、（二）委員王定宇等23人擬具「刑事訴訟法第九十九條條文修正草案」、（三）委員黃偉哲等19人擬具「刑事訴訟法部分條文修正草案」、（四）委員羅致政等21人擬具「刑事訴訟法第一百十四條條文修正草案」及（五）委員洪慈庸等19人擬具「刑事訴訟法第四十一條及第九十九條條文修正草案」案。七、審查委員周春米等18人擬具「刑事訴訟法施行法增訂第七條之九條文草案」案。八、繼續審查司法院、行政院函請審議「國民參與刑事審判法草案」案。九、審查委員徐榛蔚等16人擬具「人民參與刑事審判準備條例草案」案。十、審查委員鄭天財Sra Kacaw等16人擬具「國民參與刑事審判法草案」案。十一、繼續併案審查（一）委員蔡易餘等18人擬具「陪審法草案」、（二）時代力量黨團擬具「刑事陪審法草案」及（三）委員鄭寶清等23人擬具「陪審團法草案」案。(10月31日及11月1日為兩天一次會),,
107/11/02,群賢樓801會議室,朝野黨團協商(經濟委員會),無,立法院朝野黨團協商,本院經濟委員會報告併案審查委員鄭天財等23人、委員徐榛蔚等17人及委員廖國棟等17人分別擬具「山坡地保育利用條例第三十七條條文修正草案」案暨行政院函請審議「山坡地保育利用條例第三十七條條文修正草案」案。,,
107/11/05,群賢樓801會議室,社會福利及衛生環境委員會,無,立法院第9屆第6會期社會福利及衛生環境委員會第11次全體委員會議,一、邀請行政院環境保護署署長列席報告業務概況，並備質詢。二、審查中華民國108年度中央政府總預算關於行政院環境保護署主管預算(公務預算及基金)案。(預算詢答),黃秀芳;陳宜民;吳焜裕;陳曼麗;蔣萬安;林靜儀;吳玉琴;徐志榮;邱泰源;楊曜;陳瑩;劉建國;趙天麟;黃昭順;呂玉玲;許毓仁;鍾孔炤;吳志揚;羅明才;周陳秀霞;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal;林德福;鄭天財Sra．Kacaw;吳秉叡;邱志偉;黃國昌,
107/11/05,紅樓302會議室,司法及法制委員會,無,立法院第9屆第6會期司法及法制委員會第12次全體委員會議,邀請法務部部長、法務部調查局局長、內政部警政署署長列席就「九合一選舉如何落實行政中立、秉持勿枉勿縱查察不法，維護優質選風」進行專題報告，並備質詢。,黃國昌;吳志揚;林德福;林為洲;尤美女;段宜康;李俊俋;周春米;許智傑;江啟臣;周陳秀霞;鍾孔炤;許毓仁;鄭天財Sra．Kacaw,
107/11/05,九樓大禮堂,財政委員會,無,立法院第9屆第6會期財政委員會第9次全體委員會議,邀請審計部、行政院主計總處、財政部、國家發展委員會針對「行政院國家發展基金管理會轉投資民營事業績效評估」進行專題報告，並備質詢；另邀請投資虧損之20家事業公股代表出席。(11月5日、11月7日及11月8日三天一次會) ,吳秉叡;曾銘宗;賴士葆;徐永明;施義芳;余宛如;郭正亮;王榮璋;劉建國;陳賴素美;費鴻泰;羅明才;林德福;鍾佳濱;許毓仁;鄭天財Sra．Kacaw;黃昭順;呂玉玲;邱志偉;吳志揚;周陳秀霞;江永昌;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal;蔡易餘;黃國昌,
107/11/05,紅樓101會議室,經濟委員會,無,立法院第9屆第6會期經濟委員會第7次全體委員會議,一、邀請經濟部部長列席報告業務概況，並備質詢。二、邀請經濟部部長及國家發展委員會主任委員就「台杉投資管理顧問股份有限公司成立過程及其董事長、總經理是否應至立法院備詢」進行報告，並備質詢。(11月5日及11月7日二天一次會),王惠美;林岱樺;廖國棟Sufin．Siluko;孔文吉;莊瑞雄;陳超明;蘇震清;蘇治芬;賴瑞隆;周陳秀霞;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal;余宛如;吳思瑤;許毓仁;高志鵬;江啟臣;吳志揚;鄭天財Sra．Kacaw;黃國昌;陳曼麗;鄭運鵬;呂玉玲;曾銘宗;尤美女;蔣絜安;劉世芳;何欣純;羅明才;陳賴素美;林德福;吳焜裕;鍾佳濱;鍾孔炤;蔡易餘;邱志偉,
107/11/05,紅樓202會議室,內政委員會,無,立法院第9屆第6會期內政委員會第11次全體委員會議,邀請海洋委員會主任委員、海洋委員會海巡署署長、中央選舉委員會主任委員、內政部部長、大陸委員會主任委員、國防部副部長、國家安全局副局長、法務部調查局副局長針對「海洋委員會海巡署11月21至23日於太平島實彈演習及美國11月在南海舉行軍演，將擴大南海緊張情勢，對九合一大選與兩岸關係之影響與因應作為」進行專題報告，並備質詢。,張宏陸;洪宗熠;黃昭順;蔣絜安;管碧玲;曾銘宗;陳怡潔;吳琪銘;鄭天財Sra．Kacaw;羅致政;劉世芳;孔文吉;江啟臣;蔣萬安;林淑芬;呂玉玲;邱志偉;吳志揚;許智傑;鍾孔炤;羅明才;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal;周陳秀霞;何欣純;林德福;蔡易餘,
107/11/05,紅樓302會議室,司法及法制委員會,無,立法院第9屆第6會期司法及法制委員會「促轉會張天欽事件調閱小組」第1次全體委員會議,討論本會「促轉會張天欽事件調閱小組」有關調閱文件內容範圍、調閱資料存放場所及其他相關事項。,,
107/11/05,紅樓301會議室,外交及國防委員會,無,立法院第9屆第6會期外交及國防委員會第12次全體委員會議,邀請國防部部長報告「國軍軍事教育革新與策進」，並備質詢。,羅致政;蔡適應;林昶佐;馬文君;呂玉玲;林麗蟬;呂孫綾;王定宇;李彥秀;江啟臣;何欣純;邱志偉;孔文吉;鄭天財Sra．Kacaw;吳志揚;羅明才;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal;周陳秀霞,
107/11/06,紅樓302會議室,朝野黨團協商(司法及法制委員會),無,立法院朝野黨團協商,繼續併案協商一、司法院、行政院函請審議「勞動事件法草案」案。二、時代力量黨團擬具「勞動訴訟程序法草案」案。三、委員鍾孔炤等37人擬具「勞動事件法草案」案。四、委員蔣萬安等16人擬具「勞動事件法草案」案。五、委員陳曼麗等16人擬具「勞動事件法草案」案。,,
107/11/06,紅樓201會議室,程序委員會,無,第9屆第6會期程序委員會第8次會議, 審定本院第9屆第6會期第8次會議議事日程及  人民請願案,李麗芬;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,
107/11/06,紅樓301會議室,朝野黨團協商(司法及法制委員會),無,立法院朝野黨團協商,一、併案協商民進黨黨團擬具「立法委員互選院長副院長    辦法第一條及第一條之一條文修正草案」及委員徐國    勇等22 人擬具「立法委員互選院長副院長辦法第一條    條文修正草案」案。二、協商時代力量黨團擬具「立法院議事規則部分條文修    正草案」案。三、協商時代力量黨團擬廢止「立法院點名表決辦法」案。,,
107/11/07,紅樓101會議室,經濟委員會,無,立法院第9屆第6會期經濟委員會第7次全體委員會議,一、邀請公平交易委員會主任委員、經濟部及科技部針對「高通公司以排除同業競爭、損害基頻晶片市場競爭等手段，違反我國公平交易法第九條遭罰234億元後，公平會不到一年即同意以投資取代罰金和解」進行報告，並備質詢。二、審查108年度中央政府總預算案關於公平交易委員會單位預算及非營業部分關於公平交易委員會主管：反托拉斯基金。(詢答)(11月5日及11月7日二天一次會),廖國棟Sufin．Siluko;莊瑞雄;鄭運鵬;孔文吉;蘇震清;賴瑞隆;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal;蘇治芬;邱議瑩;陳超明;李彥秀;陳亭妃;鄭天財Sra．Kacaw;林德福;曾銘宗;蕭美琴;陳明文;蔣乃辛;鍾孔炤;何欣純;顏寬恒;劉世芳;邱志偉;陳賴素美;羅明才;江啟臣;高志鵬;蔡易餘,
107/11/07,紅樓202會議室,內政委員會,無,立法院第9屆第6會期內政委員會第12次全體委員會議,一、邀請大陸委員會主任委員、內政部部長、中央選舉委員會主任委員、交通部次長、法務部次長、法務部調查局局長、國家安全局局長、警政署署長針對「因應九合一選舉，協助我國人民返國投票、維護社會治安」進行專題報告，並備質詢。二、邀請海洋委員會主任委員、海洋委員會海巡署署長就南海實彈演訓相關事宜補充報告，並備質詢。,張宏陸;趙正宇;蔣絜安;黃昭順;鄭天財Sra．Kacaw;陳怡潔;劉世芳;管碧玲;吳琪銘;何欣純;曾銘宗;葉宜津;林德福;黃國昌;江啟臣;許毓仁;廖國棟Sufin．Siluko;邱志偉;蕭美琴;林俊憲;陳明文;蔣乃辛;鍾孔炤;顏寬恒;鍾佳濱;李昆澤;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal;孔文吉;羅明才;陳雪生;林淑芬,
