committee,lgno,name,term,sessionPeriod,isCoChairman,
經濟委員會,00219,蕭苑瑜,4,2,N,
財政委員會,00006,王令麟,4,2,N,
財政委員會,00017,朱星羽,4,2,N,
財政委員會,00045,林宏宗,4,2,N,
財政委員會,00049,林明義,4,2,N,
財政委員會,00064,林耀興,4,2,N,
財政委員會,00085,范巽綠,4,2,N,
財政委員會,00142,陳榮盛,4,2,N,
財政委員會,00152,湯金全,4,2,N,
財政委員會,00154,馮滬祥,4,2,N,
財政委員會,00202,賴士葆,4,2,N,
財政委員會,00210,謝啟大,4,2,Y,
財政委員會,00211,謝章捷,4,2,N,
財政委員會,00222,羅明才,4,2,Y,
財政委員會,00223,羅福助,4,2,N,
教育及文化委員會,00005,王世勛,4,2,N,
教育及文化委員會,00013,瓦歷斯．貝林,4,2,N,
教育及文化委員會,00031,李慶安,4,2,N,
教育及文化委員會,00070,周雅淑,4,2,N,
教育及文化委員會,00079,洪秀柱,4,2,N,
教育及文化委員會,00110,章仁香,4,2,N,
教育及文化委員會,00117,張俊宏,4,2,N,
教育及文化委員會,00138,陳景峻,4,2,Y,
教育及文化委員會,00160,黃敏惠,4,2,N,
教育及文化委員會,00168,楊秋興,4,2,N,
教育及文化委員會,00169,楊瓊瓔,4,2,Y,
教育及文化委員會,00173,葉憲修,4,2,N,
教育及文化委員會,00182,鄭逢時,4,2,N,
教育及文化委員會,00186,蔡中涵,4,2,N,
教育及文化委員會,00207,穆閩珠,4,2,Y,
交通委員會,00011,王昱婷,4,2,N,
交通委員會,00015,伍澤元,4,2,N,
交通委員會,00054,林春德,4,2,N,
交通委員會,00060,林源山,4,2,N,
交通委員會,00074,邱垂貞,4,2,N,
交通委員會,00101,許素葉,4,2,N,
交通委員會,00106,許鍾碧霞,4,2,N,
交通委員會,00115,張秀珍,4,2,N,
交通委員會,00119,張清芳,4,2,N,
交通委員會,00124,曹爾忠,4,2,N,
交通委員會,00129,陳明文,4,2,Y,
交通委員會,00133,陳根德,4,2,N,
交通委員會,00141,陳進丁,4,2,Y,
社會福利及衛生環境委員會,00012,王雪峯,4,2,N,
社會福利及衛生環境委員會,00014,江綺雯,4,2,N,
社會福利及衛生環境委員會,00021,沈富雄,4,2,Y,
社會福利及衛生環境委員會,00024,李正宗,4,2,N,
社會福利及衛生環境委員會,00026,李全教,4,2,N,
社會福利及衛生環境委員會,00055,林重謨,4,2,N,
社會福利及衛生環境委員會,00066,周五六,4,2,N,
社會福利及衛生環境委員會,00069,周清玉,4,2,N,
社會福利及衛生環境委員會,00093,徐中雄,4,2,N,
社會福利及衛生環境委員會,00109,郭榮振,4,2,N,
社會福利及衛生環境委員會,00121,張蔡美,4,2,Y,
社會福利及衛生環境委員會,00134,陳清寶,4,2,N,
社會福利及衛生環境委員會,00139,陳傑儒,4,2,N,
社會福利及衛生環境委員會,00144,陳鴻基,4,2,N,
社會福利及衛生環境委員會,00158,黃明和,4,2,N,
社會福利及衛生環境委員會,00178,趙永清,4,2,N,
社會福利及衛生環境委員會,00191,蔡鈴蘭,4,2,N,
社會福利及衛生環境委員會,00203,賴勁麟,4,2,N,
社會福利及衛生環境委員會,00218,蕭金蘭,4,2,Y,
程序委員會,00006,王令麟,4,2,Y,
程序委員會,00027,李炷烽,4,2,N,
程序委員會,00035,李顯榮,4,2,N,
程序委員會,00041,何嘉榮,4,2,N,
程序委員會,00052,林建榮,4,2,N,
程序委員會,00066,周五六,4,2,N,
程序委員會,00070,周雅淑,4,2,N,
程序委員會,00086,范揚盛,4,2,N,
程序委員會,00087,侯惠仙,4,2,N,
程序委員會,00096,徐志明,4,2,N,
程序委員會,00097,徐慶元,4,2,N,
程序委員會,00105,許榮淑,4,2,N,
程序委員會,00115,張秀珍,4,2,N,
程序委員會,00116,張明雄,4,2,N,
程序委員會,00122,張學舜,4,2,N,
程序委員會,00127,陳其邁,4,2,Y,
程序委員會,00133,陳根德,4,2,N,
程序委員會,00137,陳超明,4,2,N,
程序委員會,00150,游月霞,4,2,N,
程序委員會,00156,黃木添,4,2,N,
程序委員會,00171,葉宜津,4,2,N,
程序委員會,00176,廖福本,4,2,Y,
程序委員會,00200,劉銓忠,4,2,N,
程序委員會,00202,賴士葆,4,2,N,
程序委員會,00203,賴勁麟,4,2,N,
程序委員會,00213,韓國瑜,4,2,N,
經費稽核委員會,00011,王昱婷,4,2,N,
經費稽核委員會,00028,李俊毅,4,2,N,
經費稽核委員會,00069,周清玉,4,2,Y,
經費稽核委員會,00075,邱創良,4,2,N,
經費稽核委員會,00079,洪秀柱,4,2,N,
經費稽核委員會,00092,郝龍斌,4,2,N,
經費稽核委員會,00128,陳忠信,4,2,N,
經費稽核委員會,00130,陳昭南,4,2,N,
經費稽核委員會,00131,陳振盛,4,2,N,
經費稽核委員會,00156,黃木添,4,2,N,
經費稽核委員會,00186,蔡中涵,4,2,N,
經費稽核委員會,00194,劉光華,4,2,Y,
經費稽核委員會,00205,盧秀燕,4,2,N,
外交及僑務委員會,00025,李先仁,4,2,N,
外交及僑務委員會,00083,洪讀,4,2,N,
外交及僑務委員會,00114,張旭成,4,2,Y,
外交及僑務委員會,00143,陳學聖,4,2,Y,
外交及僑務委員會,00167,楊作洲,4,2,Y,
外交及僑務委員會,00217,顏錦福,4,2,N,
外交及僑務委員會,00225,饒穎奇,4,2,N,
科技及資訊委員會,00001,丁守中,4,2,N,
科技及資訊委員會,00008,王幸男,4,2,N,
科技及資訊委員會,00029,李嘉進,4,2,N,
科技及資訊委員會,00036,吳光訓,4,2,N,
科技及資訊委員會,00039,呂新民,4,2,N,
科技及資訊委員會,00041,何嘉榮,4,2,N,
科技及資訊委員會,00046,林志嘉,4,2,Y,
科技及資訊委員會,00056,林益世,4,2,N,
科技及資訊委員會,00076,邱鏡淳,4,2,N,
科技及資訊委員會,00080,洪性榮,4,2,N,
科技及資訊委員會,00082,洪昭男,4,2,N,
科技及資訊委員會,00105,許榮淑,4,2,N,
科技及資訊委員會,00128,陳忠信,4,2,N,
科技及資訊委員會,00130,陳昭南,4,2,N,
科技及資訊委員會,00137,陳超明,4,2,N,
科技及資訊委員會,00151,游淮銀,4,2,N,
科技及資訊委員會,00163,黃顯洲,4,2,Y,
科技及資訊委員會,00185,鄭寶清,4,2,Y,
國防委員會,00007,王兆釧,4,2,N,
國防委員會,00023,李文忠,4,2,N,
國防委員會,00027,李炷烽,4,2,N,
國防委員會,00030,李鳴皋,4,2,N,
國防委員會,00033,李慶華,4,2,N,
國防委員會,00037,吳克清,4,2,N,
國防委員會,00067,周正之,4,2,Y,
國防委員會,00068,周伯倫,4,2,N,
國防委員會,00072,周錫瑋,4,2,N,
國防委員會,00077,施明德,4,2,N,
國防委員會,00100,梁牧養,4,2,N,
國防委員會,00113,張世良,4,2,N,
國防委員會,00150,游月霞,4,2,N,
國防委員會,00153,馮定國,4,2,N,
國防委員會,00175,廖婉汝,4,2,N,
國防委員會,00177,廖學廣,4,2,N,
國防委員會,00188,蔡明憲,4,2,Y,
