SiteName,MonitorDate,Concentration,ItemUnit
嘉義,2019-12-08,14,μg/m3
朴子,2019-12-08,12,μg/m3
斗六,2019-12-08,14,μg/m3
南投,2019-12-08,10,μg/m3
彰化,2019-12-08,8,μg/m3
忠明,2019-12-08,8,μg/m3
豐原,2019-12-08,7,μg/m3
三義,2019-12-08,8,μg/m3
苗栗,2019-12-08,9,μg/m3
新竹,2019-12-08,10,μg/m3
竹東,2019-12-08,8,μg/m3
平鎮,2019-12-08,11,μg/m3
桃園,2019-12-08,11,μg/m3
萬華,2019-12-08,10,μg/m3
士林,2019-12-08,12,μg/m3
板橋,2019-12-08,11,μg/m3
汐止,2019-12-08,,μg/m3
基隆,2019-12-08,10,μg/m3
馬公,2019-12-05,11,μg/m3
金門,2019-12-05,32,μg/m3
馬祖,2019-12-05,35,μg/m3
宜蘭,2019-12-05,7,μg/m3
陽明,2019-12-05,,μg/m3
花蓮,2019-12-05,5,μg/m3
臺東,2019-12-05,,μg/m3
恆春,2019-12-05,2,μg/m3
屏東,2019-12-05,,μg/m3
前金,2019-12-05,22,μg/m3
美濃,2019-12-05,21,μg/m3
臺南,2019-12-05,13,μg/m3
新營,2019-12-05,13,μg/m3
嘉義,2019-12-05,15,μg/m3
朴子,2019-12-05,11,μg/m3
斗六,2019-12-05,14,μg/m3
南投,2019-12-05,11,μg/m3
彰化,2019-12-05,10,μg/m3
忠明,2019-12-05,8,μg/m3
豐原,2019-12-05,6,μg/m3
三義,2019-12-05,8,μg/m3
苗栗,2019-12-05,11,μg/m3
新竹,2019-12-05,12,μg/m3
竹東,2019-12-05,6,μg/m3
平鎮,2019-12-05,,μg/m3
桃園,2019-12-05,11,μg/m3
萬華,2019-12-05,10,μg/m3
士林,2019-12-05,6,μg/m3
板橋,2019-12-05,11,μg/m3
汐止,2019-12-05,10,μg/m3
基隆,2019-12-05,9,μg/m3
馬公,2019-12-02,15,μg/m3
金門,2019-12-02,18,μg/m3
馬祖,2019-12-02,16,μg/m3
宜蘭,2019-12-02,14,μg/m3
陽明,2019-12-02,10,μg/m3
花蓮,2019-12-02,12,μg/m3
臺東,2019-12-02,10,μg/m3
恆春,2019-12-02,10,μg/m3
屏東,2019-12-02,28,μg/m3
前金,2019-12-02,26,μg/m3
美濃,2019-12-02,25,μg/m3
臺南,2019-12-02,24,μg/m3
新營,2019-12-02,22,μg/m3
嘉義,2019-12-02,22,μg/m3
朴子,2019-12-02,25,μg/m3
斗六,2019-12-02,25,μg/m3
南投,2019-12-02,19,μg/m3
彰化,2019-12-02,16,μg/m3
忠明,2019-12-02,16,μg/m3
豐原,2019-12-02,15,μg/m3
三義,2019-12-02,16,μg/m3
苗栗,2019-12-02,17,μg/m3
新竹,2019-12-02,,μg/m3
竹東,2019-12-02,18,μg/m3
平鎮,2019-12-02,20,μg/m3
桃園,2019-12-02,19,μg/m3
萬華,2019-12-02,16,μg/m3
士林,2019-12-02,14,μg/m3
板橋,2019-12-02,18,μg/m3
汐止,2019-12-02,18,μg/m3
基隆,2019-12-02,19,μg/m3
馬公,2019-11-29,12,μg/m3
金門,2019-11-29,15,μg/m3
馬祖,2019-11-29,13,μg/m3
宜蘭,2019-11-29,8,μg/m3
陽明,2019-11-29,4,μg/m3
花蓮,2019-11-29,7,μg/m3
臺東,2019-11-29,6,μg/m3
恆春,2019-11-29,6,μg/m3
屏東,2019-11-29,21,μg/m3
前金,2019-11-29,18,μg/m3
美濃,2019-11-29,15,μg/m3
臺南,2019-11-29,18,μg/m3
新營,2019-11-29,17,μg/m3
嘉義,2019-11-29,18,μg/m3
朴子,2019-11-29,15,μg/m3
斗六,2019-11-29,17,μg/m3
南投,2019-11-29,11,μg/m3
彰化,2019-11-29,11,μg/m3
忠明,2019-11-29,10,μg/m3
豐原,2019-11-29,9,μg/m3
三義,2019-11-29,9,μg/m3
苗栗,2019-11-29,10,μg/m3
新竹,2019-11-29,10,μg/m3
竹東,2019-11-29,8,μg/m3
平鎮,2019-11-29,10,μg/m3
桃園,2019-11-29,10,μg/m3
萬華,2019-11-29,9,μg/m3
士林,2019-11-29,7,μg/m3
板橋,2019-11-29,10,μg/m3
汐止,2019-11-29,9,μg/m3
基隆,2019-11-29,,μg/m3
馬公,2019-11-26,13,μg/m3
金門,2019-11-26,12,μg/m3
馬祖,2019-11-26,13,μg/m3
宜蘭,2019-11-26,8,μg/m3
陽明,2019-11-26,3,μg/m3
花蓮,2019-11-26,8,μg/m3
臺東,2019-11-26,7,μg/m3
恆春,2019-11-26,6,μg/m3
屏東,2019-11-26,31,μg/m3
前金,2019-11-26,24,μg/m3
美濃,2019-11-26,24,μg/m3
臺南,2019-11-26,19,μg/m3
新營,2019-11-26,20,μg/m3
嘉義,2019-11-26,23,μg/m3
朴子,2019-11-26,16,μg/m3
斗六,2019-11-26,23,μg/m3
南投,2019-11-26,18,μg/m3
彰化,2019-11-26,13,μg/m3
忠明,2019-11-26,12,μg/m3
豐原,2019-11-26,13,μg/m3
三義,2019-11-26,8,μg/m3
苗栗,2019-11-26,9,μg/m3
新竹,2019-11-26,10,μg/m3
竹東,2019-11-26,7,μg/m3
平鎮,2019-11-26,10,μg/m3
桃園,2019-11-26,11,μg/m3
萬華,2019-11-26,11,μg/m3
士林,2019-11-26,9,μg/m3
板橋,2019-11-26,11,μg/m3
汐止,2019-11-26,10,μg/m3
基隆,2019-11-26,10,μg/m3
馬公,2019-11-23,10,μg/m3
金門,2019-11-23,14,μg/m3
馬祖,2019-11-23,10,μg/m3
宜蘭,2019-11-23,8,μg/m3
陽明,2019-11-23,,μg/m3
花蓮,2019-11-23,5,μg/m3
臺東,2019-11-23,5,μg/m3
恆春,2019-11-23,6,μg/m3
屏東,2019-11-23,27,μg/m3
前金,2019-11-23,28,μg/m3
美濃,2019-11-23,21,μg/m3
臺南,2019-11-23,37,μg/m3
新營,2019-11-23,34,μg/m3
嘉義,2019-11-23,31,μg/m3
朴子,2019-11-23,30,μg/m3
斗六,2019-11-23,33,μg/m3
南投,2019-11-23,21,μg/m3
彰化,2019-11-23,17,μg/m3
忠明,2019-11-23,17,μg/m3
豐原,2019-11-23,19,μg/m3
三義,2019-11-23,15,μg/m3
苗栗,2019-11-23,14,μg/m3
新竹,2019-11-23,12,μg/m3
竹東,2019-11-23,9,μg/m3
平鎮,2019-11-23,13,μg/m3
桃園,2019-11-23,9,μg/m3
萬華,2019-11-23,10,μg/m3
士林,2019-11-23,8,μg/m3
板橋,2019-11-23,9,μg/m3
汐止,2019-11-23,8,μg/m3
基隆,2019-11-23,8,μg/m3
馬公,2019-11-20,15,μg/m3
金門,2019-11-20,19,μg/m3
馬祖,2019-11-20,18,μg/m3
宜蘭,2019-11-20,6,μg/m3
陽明,2019-11-20,3,μg/m3
花蓮,2019-11-20,4,μg/m3
臺東,2019-11-20,6,μg/m3
恆春,2019-11-20,,μg/m3
屏東,2019-11-20,27,μg/m3
前金,2019-11-20,25,μg/m3
美濃,2019-11-20,21,μg/m3
臺南,2019-11-20,18,μg/m3
新營,2019-11-20,16,μg/m3
嘉義,2019-11-20,18,μg/m3
朴子,2019-11-20,14,μg/m3
斗六,2019-11-20,16,μg/m3
