MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
O01118,新竹市文化街與世界街路口落地型變壓器量測,2019-06-18,新竹市,東區,新竹市文化街與世界街路口,落地型變壓器,8.21,mG,True
D01099,臺南市善化區文正社區發展協會(光復路邊)落地型變壓器量測(N0719、ED70),2019-06-13,臺南市,善化區,臺南市善化區文正社區發展協會(光復路邊),落地型變壓器,30.915,mG,True
D01098,臺南市東區東明里活動中心外(偏南側)落地型變壓器量測(P9988、HD44),2019-06-13,臺南市,東區,臺南市東區東安路262-1號,落地型變壓器,18.65,mG,True
D01096,臺南市善化區文昌社區活動中心外(靠近文昌路35巷)落地型變壓器量測(N0817、BD32),2019-06-13,臺南市,善化區,臺南市善化區文昌里光復路175-1號(靠近文昌路35巷),落地型變壓器,1.15,mG,True
B01134,尤麗卡幼兒園旁落地型變壓器,2019-06-06,臺中市,太平區,太順路900號,落地型變壓器,4.23,mG,True
B01133,信義國小旁落地型變壓器,2019-06-06,臺中市,南區,五權南路325號,落地型變壓器,0.99,mG,True
E01253,HE108-05-004 (FM金聲廣播電臺),2019-05-31,高雄市,苓雅區,高雄市苓雅區光華ㄧ路206號25樓附近,FM廣播電臺,0.0014,mW/cm<sup>2</sup>,True
B01136,臺中市太平區新興路85-1號(7-11),2019-06-22,臺中市,太平區,新興路85-1號,無線區域網路(Wi-Fi),0.002,mW/cm<sup>2</sup>,True
O01130,新竹市中正路416號變電所量測,2019-06-18,新竹市,北區,中正路416號,變電所,10.68,mG,True
O01129,新竹市北大路與演藝路路口落地型變壓器量測,2019-06-18,新竹市,北區,新竹市北大路與演藝路路口,落地型變壓器,11.58,mG,True
O01128,新竹市東大路二段與演藝路口落地型變壓器量測,2019-06-18,新竹市,東區,新竹市東大路二段與演藝路口,落地型變壓器,4.39,mG,True
O01127,新竹市北大路人文年代咖啡前落地型變壓器量測,2019-06-18,新竹市,東區,新竹市北大路人文年代咖啡前,落地型變壓器,65.45,mG,True
O01126,新竹市文化街74號對面落地型變壓器量測,2019-06-18,新竹市,東區,新竹市文化街74號對面,落地型變壓器,23.86,mG,True
B01135,臺中市太平區新興路312號(7-11),2019-06-06,臺中市,太平區,新興路312號,無線區域網路(Wi-Fi),0.004,mW/cm<sup>2</sup>,True
N01057,彰化縣花壇鄉番花路5號 (萊爾富),2019-06-05,彰化縣,花壇鄉,番花路5號,無線區域網路(Wi-Fi),0.0023,mW/cm<sup>2</sup>,True
U10570,球崙二路270號旁落地型變壓器量測,2019-05-27,花蓮縣,花蓮市,球崙二路270號旁,落地型變壓器,39.3,mG,True
N01056,彰化縣溪湖鎮向上路22號 (OK),2019-05-21,彰化縣,溪湖鎮,向上路22號,無線區域網路(Wi-Fi),0.0012,mW/cm<sup>2</sup>,True
B01132,山海屯青少年之聲廣播電台,2019-05-29,臺中市,南屯區,春社里14鄰中台路650-1號,FM廣播電臺,0.19,mW/cm<sup>2</sup>,True
U10569,國聯一路13號前落地型變壓器量測,2019-05-22,花蓮縣,花蓮市,國聯一路13號前,落地型變壓器,14.7,mG,True
U10568,介壽一街5號前落地型變壓器量測,2019-05-22,花蓮縣,花蓮市,介壽一街5號前,落地型變壓器,30.3,mG,True
O01114,新竹市延平路二段811巷口落地型變壓器量測,2019-05-17,新竹市,香山區,新竹市延平路二段811巷口,落地型變壓器,8.42,mG,True
O01113,新竹市香山區延平路二段963號對面落地型變壓器量測,2019-05-17,新竹市,東區,新竹市香山區延平路二段963號對面(益欣貨運對面),落地型變壓器,6.99,mG,True
I00763,中山路400號前落地型變壓器,2019-05-10,嘉義市,東區,中山路400號,落地型變壓器,8.304,mG,True
