UNIQUE_IDENTIFIER,PRODUCT_TYPE,PRODUCT,NAME,EVENT,APPLICANT,DATE_OF_EXPIRATION,DATE_OF_APPROVAL
"SYN-E3272-5xSYN-BTØ11-1xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xSYN-Ø53Ø7-1xMON-ØØØ21-9","Stacked trait","Corn","3272 × Bt11 × MIR604 × TC1507 × 5307 × GA21 Maize","3272xBt11xMIR604xTC1507x5307xGA21","Syngenta Taiwan Ltd.","2020-05-05","2015-05-05"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-ØØ6Ø3-6xDAS-4Ø278-9","Stacked trait","Corn","Combined Trait Corn","MON89034xTC1507xNK603xDAS-40278-9","Dow AgroSciences Taiwan Ltd.","2020-01-20","2015-01-20"
"ACS-BNØØ5-8","Single trait","Canola","Herbicide Tolerant Genetically Modified Canola","MS8","Bayer Taiwan Ltd.","2020-03-18","2015-03-18"
"MON-15985-7","Single trait","Cotton","Bollgard II Cotton","MON15985","香港商孟山都遠東股份有限公司台灣分公司","2020-05-25","2015-05-25"
"MON-ØØØ73-7","Single trait","Canola","Roundup Ready Canola","GT73","香港商孟山都遠東股份有限公司台灣分公司","2020-06-08","2015-06-08"
"BCS-GHØØ2-5xBCS-GHØØ4-7xBCS-GHØØ5-8","Stacked trait","Cotton","GHB614 x T304-40 x GHB119 Cotton","GHB614xT304-40xGHB119","Bayer Taiwan Ltd.","2020-08-19","2015-08-19"
"ACS-GHØØ1-3xMON-15985-7","Stacked trait","Cotton","Stacked Genetically Modified Cotton","LLCotton25xMON15985","Bayer Taiwan Ltd.","2020-12-14","2015-12-14"
"MON-87769-7xMON-89788-1","Stacked trait","Soybean","MON87769 x MON89788 Soybean","MON87769xMON89788","香港商孟山都遠東股份有限公司台灣分公司","2020-06-26","2015-06-26"
"BCS-GHØØ2-5","Single trait","Cotton","Herbicide Tolerant Genetically Modified Cotton","GHB614","Bayer Taiwan Ltd.","2020-04-19","2015-04-19"
"BCS-GHØØ5-8","Single trait","Cotton","Insect Resistant and Herbicide Tolerant Genetically Modified Cotton","GHB119","Bayer Taiwan Ltd.","2020-04-19","2015-04-19"
"BCS-GHØØ2-5xACS-GHØØ1-3xMON-15985-7","Stacked trait","Cotton","Stacked Genetically Modified Cotton","GHB614xLLCotton25xMON15985","Bayer Taiwan Ltd.","2020-12-14","2015-12-14"
"DAS-68416-4xMON-89788-1","Stacked trait","Soybean","Combined Trait Soybean","DAS-68416-4xMON89788","Dow AgroSciences Taiwan Ltd.","2020-02-26","2015-02-26"
"MST-FGØ72-2xACS-GMØØ6-4","Stacked trait","Soybean","Stacked Genetically Modified Soybean","FG72xA5547-127","Bayer Taiwan Ltd.","2021-05-13","2016-05-13"
"DAS-81419-2","Single trait","Soybean","Insect Resistant Soybean","DAS-81419-2","Dow AgroSciences Taiwan Ltd.","2020-05-05","2015-05-05"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xSYN-IR162-4","Stacked trait","Corn","TC1507xMON810xMIR162 Maize","TC1507xMON810xMIR162","DuPont Taiwan","2020-01-20","2015-01-20"
"SYN-BTØ11-1xSYN-IR162-4","Stacked trait","Corn","Bt11 x MIR162 Maize","Bt11xMIR162","Syngenta Taiwan Ltd.","2020-03-04","2015-03-04"
"MON-87751-7","Single trait","Soybean","Lepidopteran-Protected Soybean","MON87751","香港商孟山都遠東股份有限公司台灣分公司","2021-01-29","2016-01-29"
"MON-87427-7xMON-89Ø34-3xMON-88Ø17-3","Stacked trait","Corn","MON87427xMON89034xMON88017 Corn","MON87427xMON89034xMON88017","香港商孟山都遠東股份有限公司台灣分公司","2019-01-14","2014-01-14"
"MON-87427-7xMON-89Ø34-3xMON-ØØ6Ø3-6","Stacked trait","Corn","MON87427xMON89034xNK603 Corn","MON87427xMON89034xNK603","香港商孟山都遠東股份有限公司台灣分公司","2019-01-14","2014-01-14"
"SYN-E3272-5","Single trait","Corn","α-Amylase Corn","3272","Syngenta Taiwan Ltd.","2020-07-26","2010-07-26"
"MON-8746Ø-4","Single trait","Corn","Drought Tolerant Corn","MON87460","香港商孟山都遠東股份有限公司台灣分公司","2021-11-03","2011-11-03"
"ACS-ZMØØ3-2","Single trait","Corn","Glufosinate tolerant Corn","T25","Bayer Taiwan Ltd.","2022-08-16","2002-08-16"
"MON-877Ø8-9","Single trait","Soybean","Dicamba-Tolerant Soybean","MON87708","香港商孟山都遠東股份有限公司台灣分公司","2018-04-02","2013-04-02"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-88Ø17-3xDAS-59122-7xDAS-4Ø278-9","Stacked trait","Corn","Combined Trait Corn","MON89034xTC1507xMON88017xDAS-59122-7xDAS-40278-9","Dow AgroSciences Taiwan Ltd.","2019-05-07","2014-05-07"
"DAS-Ø15Ø7-1xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","Stacked trait","Corn","TC1507xMIR604xNK603 Maize","TC1507xMIR604xNK603","DuPont Taiwan","2021-12-01","2011-12-01"
"MON-883Ø2-9","Single trait","Canola","Herbicide-Tolerant Canola","MON88302","香港商孟山都遠東股份有限公司台灣分公司","2020-12-21","2015-12-21"
"MON-887Ø1-3","Single trait","Cotton","Dicamba and Glufosinate Tolerant Cotton","MON88701","香港商孟山都遠東股份有限公司台灣分公司","2021-01-18","2016-01-18"
"MON-89Ø34-3xMON-88Ø17-3","Stacked trait","Corn","YieldGard VT Triple PRO Corn","MON89034xMON88017","香港商孟山都遠東股份有限公司台灣分公司","2019-02-17","2009-02-17"
