國際統一編號,產品類型,種類,品名,轉殖品系,申請者,核准日期,有效期限
"DP-ØØ4114-3","單一品系","玉米","抗蟲及耐固殺草基因改造玉米","4114","台灣杜邦股份有限公司","2014-06-27","2019-06-27"
"MON-883Ø2-9xACS-BNØØ5-8xACS-BNØØ3-6","混合品系","油菜","混合型基因改造油菜","MON88302xMS8xRF3","香港商孟山都遠東股份有限公司台灣分公司","2017-08-03","2022-08-03"
"MON-87427-7xMON-89Ø34-3xDAS-Ø15Ø7-1xMON-88Ø17-3xDAS-59122-7","混合品系","玉米","混合型抗蟲暨耐嘉磷塞及耐固殺草基因改造玉米","MON87427xMON89034xTC1507xMON88017xDAS-59122-7","香港商孟山都遠東股份有限公司台灣分公司","2014-05-07","2019-05-07"
"MON-877Ø5-6xMON-877Ø8-9xMON-89788-1","混合品系","黃豆","混合型基因改造黃豆","MON87705xMON87708xMON89788","香港商孟山都遠東股份有限公司台灣分公司","2017-07-31","2022-07-31"
"SYN-IR6Ø4-5","單一品系","玉米","抗蟲基因改造玉米","MIR604","台灣先正達股份有限公司","2007-10-22","2022-10-22"
"MON-Ø4Ø32-6","單一品系","黃豆","耐嘉磷塞基因改造黃豆","40-3-2","香港商孟山都遠東股份有限公司台灣分公司","2002-07-22","2022-07-22"
"DAS-59122-7","單一品系","玉米","抗蟲及耐固殺草基因改造玉米","DAS-59122-7","台灣杜邦股份有限公司","2005-12-21","2020-12-21"
"MON-88Ø17-3","單一品系","玉米","抗根蟲及耐嘉磷塞基因改造玉米","MON88017","香港商孟山都遠東股份有限公司台灣分公司","2006-03-20","2021-03-20"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","TC1507xMON810xNK603","台灣杜邦股份有限公司","2011-05-30","2021-05-30"
"MON-ØØ81Ø-6","單一品系","玉米","抗蟲基因改造玉米","MON810","香港商孟山都遠東股份有限公司台灣分公司","2002-10-15","2022-10-15"
"DAS-Ø15Ø7-1","單一品系","玉米","抗蟲及耐固殺草基因改造玉米","TC1507","台灣杜邦股份有限公司","2003-11-17","2018-11-17"
"MON-ØØ81Ø-6xMON-ØØ6Ø3-6","混合品系","玉米","混合型抗蟲暨耐嘉磷塞基因改造玉米","MON810xNK603","香港商孟山都遠東股份有限公司台灣分公司","2009-02-17","2019-02-17"
"DAS-Ø15Ø7-1xDAS-59122-7","混合品系","玉米","混合型基因改造玉米","TC1507xDAS-59122-7","台灣杜邦股份有限公司","2009-12-15","2019-12-15"
"MON-ØØ6Ø3-6","單一品系","玉米","耐嘉磷塞基因改造玉米","NK603","香港商孟山都遠東股份有限公司台灣分公司","2003-04-11","2018-04-11"
"SYN-BTØ11-1","單一品系","玉米","抗蟲及耐固殺草基因改造玉米","Bt11","台灣先正達股份有限公司","2004-06-02","2018-06-02"
"MON-89788-1","單一品系","黃豆","第2代高產量耐嘉磷塞基因改造黃豆","MON89788","香港商孟山都遠東股份有限公司台灣分公司","2007-12-28","2017-12-28"
"MON-89Ø34-3xMON-ØØ6Ø3-6","混合品系","玉米","混合型抗蟲暨耐嘉磷塞基因改造玉米","MON89034xNK603","香港商孟山都遠東股份有限公司台灣分公司","2009-02-17","2019-02-17"
"MON-88Ø17-3xMON-ØØ81Ø-6","混合品系","玉米","混合型抗蟲暨耐嘉磷塞基因改造玉米","MON88017xMON810","香港商孟山都遠東股份有限公司台灣分公司","2009-02-17","2019-02-17"
"SYN-BTØ11-1xSYN-IR6Ø4-5","混合品系","玉米","混合型基因改造玉米","Bt11xMIR604","台灣先正達股份有限公司","2009-08-03","2019-08-03"
"SYN-BTØ11-1xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","Bt11xGA21","台灣先正達股份有限公司","2009-08-03","2019-08-03"
"DAS-59122-7xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","DAS-59122-7xNK603","台灣杜邦股份有限公司","2011-01-03","2021-01-03"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-88Ø17-3xDAS-59122-7","混合品系","玉米","混合型抗蟲暨耐嘉磷塞及耐固殺草基因改造玉米","MON89034xTC1507xMON88017xDAS-59122-7","香港商孟山都遠東股份有限公司台灣分公司","2009-10-12","2019-10-12"
"MON-ØØ6Ø3-6xACS-ZMØØ3-2","混合品系","玉米","混合型耐嘉磷塞暨耐固殺草基因改造玉米","NK603xT25","香港商孟山都遠東股份有限公司台灣分公司","2011-05-30","2021-05-30"
"SYN-ØØØJG-2","單一品系","玉米","耐除草劑基因改造玉米","MZHG0JG","台灣先正達股份有限公司","2017-08-10","2022-08-10"
"SYN-IR6Ø4-5xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","MIR604xGA21","台灣先正達股份有限公司","2009-08-03","2019-08-03"
"DAS-Ø15Ø7-1xDAS-59122-7xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","TC1507xDAS-59122-7xNK603","台灣杜邦股份有限公司","2009-12-15","2019-12-15"
"SYN-BTØ11-1xSYN-IR162-4xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","Bt11xMIR162xGA21","台灣先正達股份有限公司","2011-05-30","2021-05-30"
"SYN-BTØ11-1xSYN-IR162-4xMON-89Ø34-3xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","Bt11xMIR162xMON89034xGA21","台灣先正達股份有限公司","2017-09-10","2022-09-10"
"SYN-ØØØH2-5","單一品系","黃豆","耐除草劑基因改造黃豆","SYHT0H2","台灣先正達股份有限公司","2014-03-28","2019-03-28"
"MON-ØØ6Ø3-6xDAS-4Ø278-9","混合品系","玉米","混合型基因改造玉米","NK603xDAS-40278-9","台灣道禮股份有限公司","2013-10-29","2018-10-29"
"SYN-BTØ11-1xSYN-IR162-4xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xSYN-Ø53Ø7-1xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","Bt11xMIR162xMIR604xTC1507x5307xGA21","台灣先正達股份有限公司","2013-10-15","2018-10-15"
"DAS-68416-4","單一品系","黃豆","耐除草劑基因改造黃豆","DAS-68416-4","台灣道禮股份有限公司","2013-12-16","2018-12-16"
"DAS-Ø15Ø7-1xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","TC1507xNK603","台灣杜邦股份有限公司","2009-12-02","2019-12-02"
"MST-FGØ72-2","單一品系","黃豆","耐嘉磷塞及異惡唑草酮基因改造黃豆","FG72","台灣拜耳股份有限公司","2013-12-24","2018-12-24"
