縣市,業者名稱,地址,公告類別,每日最大安全生產量_餐食份
"台中市","大同餐盒有限公司","臺中市北區建成里天祥街274號","餐盒食品工廠","17,000"
"台中市","大宗餐盒食品工廠","臺中市后里區泰安里福興路124之2號","餐盒食品工廠","12,000"
"台中市","大新餐盒食品工廠","臺中市大甲區義和里中山路1段458號","餐盒食品工廠","15,000"
"台中市","上弘便當工廠","臺中市大里區樹王里東興路320巷2號","餐盒食品工廠","12,000"
"台中市","迦南地食品工業有限公司","臺中市太平區中興里永平路2段476巷108號","餐盒食品工廠","18,000"
"台中市","侑芳食品廠","臺中市大甲區日南路工七路16號","餐盒食品工廠","15,000"
"台中市","台邑餐飲有限公司","臺中市清水區吳厝里和睦路3段50巷20號","餐盒食品工廠","20,000"
"台中市","松林食品工廠","臺中市龍井區中和里中央路3段192號","餐盒食品工廠","12,000"
"台中市","怡饗美食股份有限公司","臺中市西屯區協和里工業區十路11之1號","餐盒食品工廠","25,000"
"台中市","佳愛餐盒食品廠","臺中市金龍里北區健行路42號","餐盒食品工廠","13,000"
"台中市","潔達有限公司","臺中市南區樹義里樹義路39巷1號1樓","餐盒食品工廠","15,000"
"台中市","中一餐盒食品工廠","臺中市大里區永隆里東興路250號","餐盒食品工廠","15,000"
"台中市","勝騏餐飲有限公司","大雅區中山北路3號2.3樓","餐盒食品工廠","20,000"
"台中市","興農股份有限公司烏日廠","臺中市烏日區榮泉里南農路53號","餐盒食品工廠","40,000"
"台中市","金星餐盒食品有限公司","臺中市豐原區東陽里東陽路83號","餐盒食品工廠","15,000"
"台中市","昱品美食股份有限公司","臺中市太平區太平里新仁路1段22巷71-3號","餐盒食品工廠","26,000"
"台中市","飪珍記食品股份有限公司","臺中市太平區中興里永平路2段476巷16號","餐盒食品工廠","24,000"
"台中市","皇品餐廳有限公司","臺中市大甲區通天路39號","餐盒食品工廠(自願申請)","6,000"
"台中市","喬雅餐飲事業有限公司","臺中市大雅區雅潭路71-2號","餐盒食品工廠(自願申請)","13,000"
"桃園縣","巨禾食品有限公司","桃園縣中壢市志廣路259號","餐盒食品工廠","3,000"
"桃園縣","國琳團膳有限公司","桃園縣大園鄉菓林村崁下47之8號","餐盒食品工廠","9,000"
"桃園縣","松晟企業社","335桃園縣大溪鎮仁和里仁和路一段151號1樓","餐盒食品工廠","9,000"
"桃園縣","鮮口味有限公司","桃園縣平鎮市民族路雙連二段118巷19號","餐盒食品工廠","12,000"
"桃園縣","逸馨園有限公司","333桃園縣龜山鄉大同村大同路356巷33弄18號1、2樓","餐盒食品工廠","15,000"
"桃園縣","立宇企業社","335桃園縣大溪鎮仁愛里仁和路一段168號1樓","餐盒食品工廠","3,600"
"桃園縣","佳新盒餐廠","桃園縣楊梅市高山里高青路35號","餐盒食品工廠","8,000"
"桃園縣","萬興達有限公司","桃園縣新屋鄉中山東路二段130巷13號","餐盒食品工廠","6,000"
"桃園縣","安佳企業社","330桃園縣桃園市玉山里漢中路143、145號","餐盒食品工廠","9,000"
"桃園縣","皇佳食品廠","330桃園縣桃園市汴洲里健行路39號1樓","餐盒食品工廠","18,000"
"桃園縣","田欣餐點食品廠","桃園縣桃園市汴洲里春日路1731巷14號","餐盒食品工廠","9,000"
"桃園縣","謝師傅食品企業社","桃園縣八德市介壽路二段689號","餐盒食品工廠","6,000"
"桃園縣","永潤食品股份有限公司蘆竹廠","桃園縣蘆竹鄉海湖村海山中街71號","餐盒食品工廠","24,000"
"桃園縣","豪而昇國際食品有限公司","桃園縣中壢市民權路3段334巷46號1樓","餐盒食品工廠","15,000"
"桃園縣","復興空廚股份有限公司","桃園縣大園鄉竹圍村三民路一段538號","餐盒食品工廠","7,000"
"桃園縣","富煒團膳有限公司","桃園縣楊梅市中山里環東路293號1樓","餐盒食品工廠","1,800"
"桃園縣","裕民田食品股份有限公司二廠","334桃園縣八德市瑞泰里瑞源一街11號","餐盒食品工廠","5,000"
"桃園縣","青葉企業社","桃園縣大園鄉埔心村中正東路一段667號1樓","餐盒食品工廠","7,000"
"桃園縣","沅益食品有限公司","334桃園縣八德市大湳里和成路47號","餐盒食品工廠","18,000"
"桃園縣","津味企業有限公司","桃園縣大溪鎮田新里中華路61號","餐盒食品工廠(自願申請)","3,000"
"桃園縣","廣豐食品有限公司","324桃園縣平鎮市雙連里民族路雙連2段118巷51弄16號","餐盒食品工廠","4,500"
"桃園縣","好鮮股份有限公司","338桃園縣蘆竹鄉中福村龍壽街1段8號1樓","餐盒食品工廠","20,000"
"桃園縣","千秋有限公司","桃園縣平鎮市鎮興里南平路二段507號","餐盒食品工廠","14,000"
"桃園縣","榮興企業社楊梅廠","桃園縣楊梅市仁美里永平路59巷1號","餐盒食品工廠","9,000"
"桃園縣","合味有限公司","桃園縣八德市茄苳里永豐路380號1樓","餐盒食品工廠","5,000"
"桃園縣","黑雞餐盒食品廠","桃園縣大園鄉田心村國際路1段163號","餐盒食品工廠","8,000"
"桃園縣","吉元食品股份有限公司","桃園縣平鎮市雙連里民族路雙連2段118巷51弄16號","餐盒食品工廠","10,000"
"新北市","統皓食品股份有限公司","新北市五股區五權路49號3樓","餐盒食品工廠","13,000"
"新北市","統鮮美食股份有限公司(統鮮企業股份有限公司)","新北市五股區五權七路77號","餐盒食品工廠","48,000"
"新北市","山原盒餐食品股份有限公司","新北市樹林區忠愛街5號2-3樓","餐盒食品工廠","6,000"
"新北市","珍品軒食品有限公司","新北市中和區立德街112號地下一樓","餐盒食品工廠","22,000"
"新北市","寬大食品有限公司","新北市新店區民生路29號","餐盒食品工廠","18,000"
"新北市","雙翼食品有限公司","新北市樹林區忠愛街1、3號1、2樓","餐盒食品工廠","37,000"
"新北市","昱品食品有限公司","新北市樹林區忠愛街2號1樓","餐盒食品工廠","27,000"
"新北市","味味美食有限公司","新北市五股區中興路1段95巷4弄3、5號","餐盒食品工廠","15,200"
"新北市","新北食品股份有限公司","新北市三重區力行路2段30巷10號","餐盒食品工廠","36,000"
"新北市","上將食品有限公司","新北市新莊區幸福東路86號","餐盒食品工廠","47,000"
"新北市","愛欣食品有限公司","新北市淡水區八勢一街1號","餐盒食品工廠","20,000"
"新北市","味仙餐飲有限公司","新北市泰山區德安街19號","餐盒食品工廠","6,000"
"新北市","宏遠國際餐飲股份有限公司五股二廠","新北市五股區五權路54號","餐盒食品工廠","60,000"
"新北市","百原食品有限公司","新北市五股區中興路1段61號","餐盒食品工廠","20,000"
"新北市","北區食品有限公司","新北市樹林區保安街三段1巷1號","餐盒食品工廠","20,000"
"新北市","久翔食品股份有限公司","新北市樹林區武林街16之1號","餐盒食品工廠","50,000"
"新北市","欣宇祥企業有限公司","新北市新莊區中正路566號","餐盒食品工廠","1,500"
"新北市","火車頭餐盒食品有限公司","新北市土城區日新街37-1號","餐盒食品工廠","15,000"
"新北市","復強食品有限公司","新北市樹林區忠愛街3號2樓","餐盒食品工廠",""
"新北市","上林餐飲事業股份有限公司","新北市新店區寶興路45巷8弄6號","餐盒食品工廠","22,000"
"台北市","榮彬食品有限公司","臺北市士林區福港街110巷1弄2號","餐盒食品工廠","8,000"
"台北市","元一食品行","臺北市南港區南港路3段130巷3弄7號1樓","餐盒食品工廠","5,000"
"台北市","凱鴻素食有限公司","臺北市南港區南港路松河路406號","餐盒食品工廠","1,500"
"台北市","第一餐盒股份有限公司","115臺北市南港區重陽路263巷8號","餐盒食品工廠","21,600"
"台北市","宮保王食品有限公司","台北市南港區南港路3段149巷49弄12號","餐盒食品工廠","15,000"
"台北市","食家安飲食文化股份有限公司","114臺北市內湖區新湖一路1號","餐盒食品工廠","30,000"
"台北市","福客食品有限公司","臺北市內湖區新明路116號4樓","餐盒食品工廠","5,000"
"台北市","圓理想事業有限公司","台北市中正區師大路177號","餐盒食品工廠(自願申請)","5,000"
"台北市","欣欣團膳食品有限公司","南港區南港路3段80巷32號 2樓","餐盒食品工廠","12,000"
"台北市","天仁餐盒有限公司","台北市內湖區新明路321巷10弄8、10、12號1樓","餐盒食品工廠","10,000"
"台北市","士福食業股份有限公司","台北市內湖區新明路193號","餐盒食品工廠","12,000"
"台北市","福氣食品股份有限公司","台北市內湖區新明路116號4樓","餐盒食品工廠","6,000"
"台北市","冠冕盒餐食品有限公司","台北市內湖區內湖路1段91巷38弄7號1樓","餐盒食品工廠","7,000"
"彰化縣","國華食品工廠","彰化縣彰化市茄南里茄苳路二段10巷31之1號","餐盒食品工廠","16,000"
"彰化縣","志宏食品股份有限公司","彰化縣秀水鄉安溪村花秀路246號","餐盒食品工廠","1,800"
"彰化縣","誠美便當工廠","彰化縣花壇鄉岩竹村虎山街291巷19號","餐盒食品工廠","5,000"
"彰化縣","亞基便當廠","彰化縣社頭鄉清水村重生路585、587號","餐盒食品工廠","3,500"
"彰化縣","王子便當","彰化縣埔心鄉經口村明聖路2段408巷83號","餐盒食品工廠","10,000"
"彰化縣","正惠心便當工廠","彰化縣員林鎮南平里復興路95號","餐盒食品工廠","19,800"
"彰化縣","冠成食品工廠","彰化縣員林鎮溝皂里田中央巷38-42號、38-72號","餐盒食品工廠","11,250"
"彰化縣","小廚師食品工廠","彰化縣和美鎮中圍里彰新路3段373巷16號","餐盒食品工廠","15,000"
