工作地址,發證日期起,發證日期迄,職類等級,任職單位
"竹南鎮光復路331號","1030410","1070409","中餐烹調丙級","竹南鎮照南國小"
"新竹市新竹市新竹市公道五路三段536巷66號","1041210","1081209","中餐烹調丙級","蕓慶企業有限公司"
"新竹市延平路一段152號","1050906","1090905","中餐烹調丙級","協呈食品股份有限公司"
"新竹市新竹市北區水田街33號","1030125","1070124","中餐烹調丙級","美麒食品有限公司駐北門國民小學"
"新竹市東大路三段465號","1051104","1091103","中餐烹調丙級","新竹市南寮國民小學"
"新竹市田美三街2號","1030207","1070206","中餐烹調丙級",""
"新竹市新竹市新竹市公道五路三段536巷66號","1021210","1061209","中餐烹調丙級","蕓慶企業有限公司"
"苗栗縣竹南鎮崎頂里13鄰5號","1050906","1090905","中餐烹調丙級","和峰食品有限公司"
"新竹縣關西鎮正義路126號","1030816","1070815","中餐烹調丙級","財團法人私立天主教華光智能發展中心"
"新竹市新竹市光復路一段89巷112號1樓","1060721","1100720","中餐烹調丙級","懷石餐飲股份有限公司"
"","1030209","1070208","中餐烹調丙級","泳翔食品(股)公司(駐縣立六家國民中學)"
"新竹縣竹北市縣政13路81號","1060608","1100607","中餐烹調丙級","泳翔食品股份有限公司"
"苗栗縣銅鑼鄉苗栗縣銅鑼鄉大同路55號","1040831","1080830","中餐烹調丙級","東山好飲食店"
"新北市板橋區縣民大道二段8號","1050828","1090827","中餐烹調乙級","大盟開發股份有限公司"
"桃園市桃園區桃鶯路398號","1030917","1070916","中餐烹調乙級","住都飯店"
"苗栗縣通霄鎮通霄鎮通灣里中山路89號","1031017","1071016","中餐烹調丙級","青松園"
"桃園市蘆竹區海山路2段156巷22號","1030114","1070113","中餐烹調乙級",""
"新竹市","1030706","1070705","中餐烹調丙級","懷石餐飲行銷商行駐新竹科學園區聯發科技"
"臺中市西屯區玉門路372號-台中牛排館中科店","1030329","1070328","中餐烹調丙級","台中牛排館"
"桃園市蘆竹區南崁路一段336號","1030601","1070531","中餐烹調丙級","廣元企業社"
"臺北市大安區忠孝東路4段59號2樓","1040811","1080810","中餐烹調丙級","聯福餐廳股份有限公司"
"苗栗縣公館鄉五穀村3鄰118號","1031006","1071005","中餐烹調丙級","棗莊古藝庭園膳坊"
"臺北市中山區雙城街28巷3號2樓","1031027","1071026","中餐烹調乙級","欣葉實業股份有限公司"
"桃園市蘆竹區長興路4段63號","1030306","1070305","中餐烹調乙級",""
"臺北市萬華區水源路187號","1040406","1080405","中餐烹調丙級","財團法人台北市私立恆安老人養護中心"
"苗栗縣苗栗市中正路1036號1樓","1030820","1070819","中餐烹調丙級","大碗公餐飲府前店"
"臺中市西屯區國安一路168號2樓","1031028","1071027","中餐烹調丙級","棗點子股份有限公司"
"臺北市大安區信義路四段236號2樓","1030610","1070609","中餐烹調乙級","吉品海鮮股份有限公司"
"苗栗縣公館鄉大坑村1鄰大坑12號","1031028","1071027","中餐烹調丙級",""
"苗栗縣銅鑼鄉中平村153-1號","1040307","1080306","中餐烹調丙級",""
"桃園市蘆竹區海山路2段156巷22號","1030118","1070117","中餐烹調丙級",""
"臺中市大雅區仁愛路101號","1050412","1090411","中餐烹調丙級","566便當茶坊"
"新竹縣湖口鄉千禧路43巷21弄10號2樓","1060106","1100105","中餐烹調丙級",""
"竹南鎮崎頂里7鄰北戶39號","1030326","1070325","中餐烹調丙級","泳翔食品股份有限公司"
"苗栗縣頭份鎮興隆路2鄰9號1樓","1051013","1091012","中餐烹調丙級","瑞園餐廳"
"新竹市元培街134號","1030805","1070804","中餐烹調丙級",""
"臺中市西屯區台灣大道三段33號","1041123","1081122","中餐烹調丙級","中僑婚訂花園股份有限公司"
"新北市土城區中央路一段22號","1030116","1070115","中餐烹調丙級",""
"臺北市中山區南京東路2段63號","1031216","1071215","中餐烹調丙級","美心西餐廳"
"頭份鎮盧竹里2鄰永貞路1段57號","1030501","1070430","中餐烹調丙級","神龍本港海產餐廳"
"臺北市松山區敦化北路100號","1031216","1071215","中餐烹調丙級",""
"臺北市松山區南京東路三段255號","1030215","1070214","中餐烹調乙級","兄弟大飯店"
"臺北市松山區敦化北路100號","1031205","1071204","中餐烹調丙級","王朝大酒店"
"頭份鎮中正一路395號","1030318","1070317","中餐烹調丙級","泳翔食品股份有限公司"
"臺北市中山區林森北路413號","1050719","1090718","中餐烹調丙級","百香融餐飲股份有限公司-儷宴會館"
"臺北市中山區林森北路413號","1050719","1090718","中餐烹調丙級","百香融餐飲股份有限公司-儷宴會館"
"臺北市中山區林森北路413號","1050719","1090718","中餐烹調丙級","百香融餐飲股份有限公司-儷宴會館"
"新北市板橋區新站路16號48樓","1050719","1090718","中餐烹調丙級","鼎鼎大飯店股份有限公司板橋營業所"
"新北市板橋區新站路16號48樓","1050719","1090718","中餐烹調丙級","鼎鼎大飯店股份有限公司板橋營業所"
"新北市新莊區中正路1號","1050719","1090718","中餐烹調丙級","宜家家居股份有限公司-新莊店"
"花蓮縣花蓮市中正路600號","1050720","1090719","中餐烹調丙級","合園食品行"
"花蓮縣花蓮市中正路600號","1050720","1090719","中餐烹調丙級","合園食品行"
"新北市深坑區北深路3段5號","1050720","1090719","中餐烹調丙級","八家餐廳"
"屏東縣東港鎮鵬灣大道二段1號","1050720","1090719","中餐烹調丙級","東方渡假酒店"
"屏東縣恆春鎮墾丁路2號","1050720","1090719","中餐烹調丙級","墾丁福華渡假飯店"
"桃園市八德區介壽路二段490巷旁巧克力街底","1050720","1090719","西餐烹調丙級","宏亞食品股份有限公司"
"臺北市中山區民生東路2段168號6樓","1050720","1090719","中餐烹調丙級","海先股份有限公司"
"桃園市八德區介壽路二段490巷旁巧克力街底","1050720","1090719","中餐烹調丙級","宏亞食品股份有限公司"
"臺北市中山區民生東路2段168號6樓","1050720","1090719","中餐烹調丙級","海先股份有限公司"
"桃園市八德區介壽路二段490巷旁巧克力街底","1050720","1090719","中餐烹調丙級","宏亞食品股份有限公司"
"桃園市八德區介壽路二段490巷旁巧克力街底","1050720","1090719","中餐烹調丙級","宏亞食品股份有限公司"
"高雄市旗山區大德里中學路60號","1050720","1090719","中餐烹調丙級","衛生福利部旗山醫院"
"臺北市大安區敦化南路2段201號","1050720","1090719","中餐烹調丙級","遠東飯店"
"桃園市中壢區中園路2段501號","1050720","1090719","中餐烹調丙級","勝政餐飲(股)公司"
"臺北市信義區忠孝東路5段8號B2","1050720","1090719","中餐烹調丙級","台灣亞瑪亞(股)公司-博多山海天婦羅 阪急店"
"屏東縣恆春鎮墾丁路42號","1050720","1090719","中餐烹調丙級","清香快炒小吃店"
"桃園市中壢區元化路357號B1","1050720","1090719","中餐烹調丙級","台灣東利多股份有限公司中壢SOGO店"
"桃園市中壢區元化路245號2樓","1050720","1090719","中餐烹調丙級","王品餐飲(股)公司原燒中壢元化分公司"
"臺北市信義區忠孝東路5段8號B2","1050720","1090719","中餐烹調丙級","台灣亞瑪亞(股)公司-博多山海天婦羅 阪急店"
"桃園市中壢區元化路245號2樓","1050720","1090719","中餐烹調丙級","王品餐飲(股)公司原燒中壢元化分公司"
"臺北市大安區敦化南路2段201號","1050720","1090719","中餐烹調丙級","遠東飯店"
"新北市三重區新北大道二段260號","1050720","1090719","西餐烹調丙級","金色三麥餐飲股份有限公司"
"臺北市中山區松江路100巷1號1樓","1050720","1090719","中餐烹調丙級","臺灣富禮納思股份有限公司"
"臺北市中山區台北市林森北路369號","1050720","1090719","中餐烹調丙級","華泰大飯店"
"臺北市中正區汀洲路1段105號","1050720","1090719","中餐烹調丙級","聚滿樓餐廳有限公司"
"桃園市蘆竹區蘆興南路439號","1050720","1090719","中餐烹調丙級","私立瑞恩帝兒南竹幼兒園"
"桃園市蘆竹區蘆興南路439號","1050720","1090719","中餐烹調丙級","私立瑞恩帝兒南竹幼兒園"
"桃園市蘆竹區南崁路一段112號6樓","1050720","1090719","中餐烹調丙級","漢來美食(股)公司桃園分公司"
"桃園市蘆竹區南崁路一段112號6樓","1050720","1090719","中餐烹調丙級","漢來美食(股)公司桃園分公司"
"高雄市鹽埕區五福四路45號","1050720","1090719","中餐烹調乙級","福容大飯店股份有限公司-高雄分公司"
"桃園市桃園區大興西路一段200號","1050720","1090719","中餐烹調丙級","福容大飯店-桃園分公司"
"高雄市鹽埕區五福四路45號","1050720","1090719","中餐烹調丙級","福容大飯店股份有限公司-高雄分公司"
"桃園市桃園區南華街66號","1050720","1090719","中餐烹調丙級","王品西堤桃園南華店"
"高雄市鼓山區蓬萊路23號","1050720","1090719","中餐烹調乙級","便宜坊烤鴨股份有限公司"
"桃園市桃園區南華街66號","1050720","1090719","西餐烹調丙級","王品西堤桃園南華店"
"臺北市松山區復興南路一段39號","1041229","1081228","中餐烹調丙級","虎將餐飲股份有限公司"
"臺北市松山區復興南路一段39號","1041229","1081228","中餐烹調乙級","虎將餐飲股份有限公司"
