申請公司名稱,製造商名稱,申請產品名稱,抑制肉毒桿菌因子,查驗登記字號,發證日期,有效日期
"德久食品有限公司","德久食品有限公司","故鄉豆乾","商業滅菌","018010004","101年6月27日","106年6月27日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","辣味豆干(80g)","商業滅菌","016020012","101年7月25日","106年7月25日"
"麥君食品有限公司","麥君食品有限公司","千層干","水活性<0.85","009020001","101年7月25日","106年7月25日"
"東和食品工業股份有限公司","東和食品工業股份有限公司","麻辣油豆腐","商業滅菌","004020001","101年10月9日","106年10月9日"
"東成茶葉企業有限公司","福記冷凍食品股份有限公司","日式素豆干(香辣)","商業滅菌","002050001","101年10月31日","106年2月8日"
"東成茶葉企業有限公司","福記冷凍食品股份有限公司","日式素豆干(綠茶)","商業滅菌","002050002","101年10月31日","106年2月8日"
"海力捷國際開發股份有限公司","福記冷凍食品股份有限公司","美好人生臼醬豆干(五香口味)","商業滅菌","002060001","101年11月8日","106年11月8日"
"海力捷國際開發股份有限公司","福記冷凍食品股份有限公司","美好人生臼醬豆干(紅麴口味)","商業滅菌","002060002","101年11月8日","106年11月8日"
"海力捷國際開發股份有限公司","福記冷凍食品股份有限公司","美好人生臼醬豆干(香椿口味)","商業滅菌","002060003","101年11月8日","106年11月8日"
"麥君食品有限公司","麥君食品有限公司","千層干","水活性<0.85","009020001","101年12月6日","106年12月6日"
"福記冷凍食品有限公司","福記冷凍食品有限公司","有機五香豆干","商業滅菌","016010024","102年2月5日","107年2月5日"
"福記冷凍食品有限公司","福記冷凍食品有限公司","燕麥豆干","商業滅菌","016010023","102年2月5日","107年2月5日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","辣味豆干(120g)","商業滅菌","016020013","102年3月4日","107年3月4日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","原味豆干(120g)","商業滅菌","016020014","102年3月4日","107年3月4日"
"宗饌行","得意中華食品股份有限公司","紅麴豆干(原味300g)","商業滅菌","012030001","102年3月15日","107年3月15日"
"宗饌行","得意中華食品股份有限公司","紅麴豆干(300g)","商業滅菌","012030002","102年5月22日","107年5月22日"
"自在廚房有限公司","自在廚房有限公司","滷豆干-滷嗅味干","水活性<0.94","017020001","102年4月15日","107年4月15日"
