標題,連結
"99年5月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b44%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%999906024.pdf"
"99年6月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b46%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"99年7月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b47%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"99年8月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b48%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"99年9月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99(9909).pdf"
"99年10月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b410%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"99年11月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b411%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"99年12月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b412%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"100年1月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b41%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"103年9月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015100814010430539.pdf"
"103年10月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015101614445943711.pdf"
"103年11月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015101614412828574.pdf"
"103年12月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015100815251442102.pdf"
"100年2月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b42%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"100年3月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b43%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"100年4月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b44%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"100年5月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b45%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"102年8月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013111915072233189.pdf"
"102年9月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2014010210355015592.pdf"
