標題,連結
"102年10月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2014012313480515016.pdf"
"102年11月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2014021210270551982.pdf"
"102年12月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2014031216445430070.pdf"
"100年6月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b46%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"100年7月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b47%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"100年8月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b48%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"100年9月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b49%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"100年10月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b410%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"100年11月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b411%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"100年12月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/100%e5%b9%b412%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"102年度「藥物濫用案件暨檢驗統計資料」年報","http://www.fda.gov.tw/upload/133/2015010813425062871.pdf"
"103年1月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015101615052933003.pdf"
"103年2月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015101614543880166.pdf"
"103年3月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015101614525881569.pdf"
"103年4月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015101614485071585.pdf"
"100年度「藥物濫用案件暨檢驗統計資料」年報","http://www.fda.gov.tw/upload/133/100%e5%b9%b4%e5%ba%a6%e3%80%8c%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99%e3%80%8d%e5%b9%b4%e5%a0%b1.pdf"
"103年度「藥物濫用案件暨檢驗統計資料」年報","http://www.fda.gov.tw/upload/133/2015070816312729381.pdf"
"104年1月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015101615334164586.pdf"
"104年2月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015100814170613699.pdf"
"104年3月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015100814054760502.pdf"
"104年4月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015100814062448775.pdf"
"104年5月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015100814070159622.pdf"
"104年6月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015100814074770261.pdf"
"104年7月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015111215033422616.pdf"
"104年8月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015112511180393207.pdf"
"104年9月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016010609143557027.pdf"
"104年10月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016020314511984346.pdf"
"104年11月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016022216104061073.pdf"
"104年12月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016041310442358272.pdf"
"104年度「藥物濫用案件暨檢驗統計資料」年報","http://www.fda.gov.tw/upload/133/2016060211375910528.pdf"
"105年1月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016050414121492742.pdf"
"105年2月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016051608363883998.pdf"
"105年3月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016062008591143861.pdf"
"105年4月藥物濫用案件暨檢驗統計資料集 http://www.fda.gov.tw/upload/133/2016070616334089915.pdf","http://www.fda.gov.tw/upload/133/2016070616334089915.pdf"
"105年5月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016090814563848473.pdf"
"105年6月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016102609073570047.pdf"
"105年7月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016102609073570047.pdf"
"105年8月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016112410064449100.pdf"
"105年9月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2016120813320257964.pdf"
"105年10月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2017010309592392810.pdf"
"105年11月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2017020914101257450.pdf"
"105年12月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2017040615064097263.pdf"
"106年1月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2017052610431697394.pdf"
"106年2月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2017071809284411173.pdf"
"106年3月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2017073116460316082.pdf"
"106年4月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2017081810232163981.pdf"
